question_id,order_sensitive,top_k,limit,order_by_clause,projection_count,order_term_count,machine_class,automatic_primary_eligible,rationale
Q039,True,True,1,scheduled_date ASC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q051,True,True,1,m.parts_cost DESC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q074,True,True,1,avg_capacity_mw DESC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q117,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q118,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q119,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q120,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q121,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q122,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q123,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q124,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q125,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q126,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q127,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q128,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q129,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q130,True,True,1,s.reading_time DESC,4,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q200,True,True,1,"alarm_count DESC, t.type_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
