claim_id,source_id,evidence_locator,support_relation,verification_status
RW-A1,ref1,MANUSCRIPT.md Section 2.1 paragraph 1 sentence 1,supports scope of transmission-expansion modeling,verified
RW-A1,ref2,MANUSCRIPT.md Section 2.1 paragraph 1 sentence 1,supports practice-oriented transmission-planning review,verified
RW-A1,ref10,MANUSCRIPT.md Section 2.1 paragraph 1 sentence 1,supports market and regulatory uncertainty in transmission planning,verified
RW-A2,ref3,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 1,supports use of MCDA in energy decisions,verified
RW-A2,ref4,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 1,supports use of MCDM in renewable-energy decisions,verified
RW-A2,ref5,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 2,supports fuzzy-AHP asset-maintenance prioritization example,verified
RW-A2,ref33,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 2,supports explainable country-level energy-investment ranking example,verified
RW-A2,ref6,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 3,supports robust portfolio modeling under incomplete preferences,verified
RW-A2,ref7,MANUSCRIPT.md Section 2.1 paragraph 2 sentence 3,supports infrastructure-maintenance application of robust portfolio modeling,verified
RW-A3,ref29,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 1,supports coordinated transmission-storage planning example,verified
RW-A3,ref30,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 1,supports interruption-cost estimation for reliability investment,verified
RW-A3,ref31,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 1,supports storage planning with investment-return analysis,verified
RW-A3,ref32,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 1,supports hybrid heuristic-Benders treatment of non-analytical investment cost,verified
RW-A3,ref34,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 2,supports effect of losses and N-1 contingencies on expansion plans,verified
RW-A3,ref11,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 4,supports hybrid grid-investment risk-benefit model example,verified
RW-A3,ref35,MANUSCRIPT.md Section 2.1 paragraph 3 sentence 4,supports improved-NSGA-II grid planning comparator and stated validation boundary,verified
RW-B1,ref8,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 1,supports dominance-based NSGA-II family,verified
RW-B1,ref9,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 1,supports decomposition-based MOEA/D family,verified
RW-B1,ref12,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 1,supports reference-point-based NSGA-III family,verified
RW-B2,ref13,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 2,supports reference-point guidance,verified
RW-B2,ref14,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 2,supports achievement-scalarizing preference method,verified
RW-B2,ref15,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 2,supports preference-modified dominance relation,verified
RW-B2,ref16,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 2,supports preference-incorporation taxonomy,verified
RW-B2,ref17,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 2,supports preference-modeling review and open challenges,verified
RW-B3,ref28,MANUSCRIPT.md Section 2.2 paragraph 1 sentence 3,supports constraint-handling taxonomy and joint feasibility-search evaluation need,verified
RW-B4,ref18,MANUSCRIPT.md Section 2.2 paragraph 2 sentence 1,supports adaptive reference-vector mechanism,verified
RW-B4,ref19,MANUSCRIPT.md Section 2.2 paragraph 2 sentence 2,supports preference-aware evaluation issue,verified
RW-B4,ref20,MANUSCRIPT.md Section 2.2 paragraph 2 sentence 2,supports finding that preference guidance is not uniformly beneficial,verified
RW-C1,ref21,MANUSCRIPT.md Section 2.3 paragraph 1 sentence 1,supports XAI concepts and taxonomy,verified
RW-C1,ref22,MANUSCRIPT.md Section 2.3 paragraph 1 sentence 1,supports social-science account of explanation,verified
RW-C1,ref23,MANUSCRIPT.md Section 2.3 paragraph 1 sentence 2,supports energy and power-system XAI review,verified
RW-C1,ref24,MANUSCRIPT.md Section 2.3 paragraph 1 sentence 3,supports evolutionary-computation/XAI research agenda,verified
RW-C2,ref25,MANUSCRIPT.md Section 2.3 paragraph 2 sentence 1,supports provenance-purpose and form taxonomy,verified
RW-C2,ref26,MANUSCRIPT.md Section 2.3 paragraph 2 sentence 1,supports PROV entity-activity-agent derivation model,verified
RW-C2,ref27,MANUSCRIPT.md Section 2.3 paragraph 2 sentence 2,supports life-cycle internal algorithmic-audit artifact collection,verified
