topic_id,topic_title,journal_key,journal,paper_id,title,publication_date,year,doi,openalex_id,landing_page,oa_url,is_oa,source_pdf_url,pdf_path,relevance_score,cited_by_count,method_hits,task_hits,query_hit
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,applied_sciences,Applied Sciences,tj_p1_twin_gru_dispatch_04_analysis_of_heuristic_optimization_technique_solut,Analysis of Heuristic Optimization Technique Solutions for Combined Heat-Power Economic Load Dispatch,2023-09-16,2023,https://doi.org/10.3390/app131810380,https://doi.org/10.3390/app131810380,https://doi.org/10.3390/app131810380,https://doi.org/10.3390/app131810380,false,https://mdpi-res.com/d_attachment/applsci/applsci-13-10380/article_deploy/applsci-13-10380.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__04__analysis_of_heuristic_optimization_technique_solutions_for_combined_he__298b27049c.pdf,0,11,dispatch; optimization,dispatch; economic dispatch; load,load-aware dispatch optimization
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,applied_sciences,Applied Sciences,tj_p1_twin_gru_dispatch_05_optimal_dispatch_of_multi_coupling_systems_conside,Optimal Dispatch of Multi-Coupling Systems Considering Molten Salt Thermal Energy Storage Retrofit and Cost Allocation Under Rapid Load Variations,2025-04-07,2025,https://doi.org/10.3390/app15074062,https://doi.org/10.3390/app15074062,https://doi.org/10.3390/app15074062,https://doi.org/10.3390/app15074062,false,https://mdpi-res.com/d_attachment/applsci/applsci-15-04062/article_deploy/applsci-15-04062.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__05__optimal_dispatch_of_multi_coupling_systems_considering_molten_salt_the__10ff400301.pdf,0,2,dispatch; optimization,dispatch; economic dispatch; load,load-aware dispatch optimization
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,applied_sciences,Applied Sciences,tj_p1_twin_gru_dispatch_03_a_repair_based_improved_whale_optimization_algorit,A Repair-Based Improved Whale Optimization Algorithm for Low-Carbon Economic Dispatch of an Islanded Renewable Microgrid,2026-06-12,2026,https://doi.org/10.3390/app16125952,https://doi.org/10.3390/app16125952,https://doi.org/10.3390/app16125952,https://doi.org/10.3390/app16125952,false,https://mdpi-res.com/d_attachment/applsci/applsci-16-05952/article_deploy/applsci-16-05952.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__03__a_repair_based_improved_whale_optimization_algorithm_for_low_carbon_ec__a4ef78a832.pdf,0,0,dispatch; optimization,dispatch; economic dispatch; load,power grid dispatch GRU
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,electronics,Electronics,tj_p1_twin_gru_dispatch_09_optimizing_economic_dispatch_for_microgrid_cluster,Optimizing Economic Dispatch for Microgrid Clusters Using Improved Grey Wolf Optimization,2024-08-08,2024,https://doi.org/10.3390/electronics13163139,https://doi.org/10.3390/electronics13163139,https://doi.org/10.3390/electronics13163139,https://doi.org/10.3390/electronics13163139,false,https://mdpi-res.com/d_attachment/electronics/electronics-13-03139/article_deploy/electronics-13-03139.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__09__optimizing_economic_dispatch_for_microgrid_clusters_using_improved_gre__31a69df1d7.pdf,0,21,dispatch; optimization,dispatch; economic dispatch,power grid dispatch GRU
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,electronics,Electronics,tj_p1_twin_gru_dispatch_12_the_study_of_an_improved_particle_swarm_optimizati,The Study of an Improved Particle Swarm Optimization Algorithm Applied to Economic Dispatch in Microgrids,2024-10-17,2024,https://doi.org/10.3390/electronics13204086,https://doi.org/10.3390/electronics13204086,https://doi.org/10.3390/electronics13204086,https://doi.org/10.3390/electronics13204086,false,https://mdpi-res.com/d_attachment/electronics/electronics-13-04086/article_deploy/electronics-13-04086.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__12__the_study_of_an_improved_particle_swarm_optimization_algorithm_applied__a9403b686a.pdf,0,17,dispatch; optimization,dispatch; economic dispatch,load-aware dispatch optimization
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,electronics,Electronics,tj_p1_twin_gru_dispatch_02_dynamic_line_rating_and_transformer_life_loss_rela,Dynamic Line Rating and Transformer-Life-Loss-Related Unit Commitment Under Extreme High-Temperature Conditions,2025-10-14,2025,https://doi.org/10.3390/electronics14204027,https://doi.org/10.3390/electronics14204027,https://doi.org/10.3390/electronics14204027,https://doi.org/10.3390/electronics14204027,false,https://mdpi-res.com/d_attachment/electronics/electronics-14-04027/article_deploy/electronics-14-04027.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__02__dynamic_line_rating_and_transformer_life_loss_related_unit_commitment__2e4f3d4094.pdf,0,1,dispatch; unit commitment; optimization,dispatch; unit commitment; load,unit commitment neural network dispatch
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,electronics,Electronics,tj_p1_twin_gru_dispatch_07_low_carbon_economic_dispatch_of_ies_considering_fl,Low Carbon Economic Dispatch of IES Considering Flexibility and Multi-Entity Participation Based on Improved PSO,2026-02-25,2026,https://doi.org/10.3390/electronics15050933,https://doi.org/10.3390/electronics15050933,https://doi.org/10.3390/electronics15050933,https://doi.org/10.3390/electronics15050933,false,https://mdpi-res.com/d_attachment/electronics/electronics-15-00933/article_deploy/electronics-15-00933.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__07__low_carbon_economic_dispatch_of_ies_considering_flexibility_and_multi__7d90cf7078.pdf,0,0,dispatch; optimization,dispatch; economic dispatch; load,multi-objective power grid dispatch
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,energies,Energies,tj_p1_twin_gru_dispatch_10_self_unit_commitment_of_combined_cycle_units_with,Self-Unit Commitment of Combined-Cycle Units with Real Operational Constraints,2023-12-21,2023,https://doi.org/10.3390/en17010051,https://doi.org/10.3390/en17010051,https://doi.org/10.3390/en17010051,https://doi.org/10.3390/en17010051,false,https://mdpi-res.com/d_attachment/energies/energies-17-00051/article_deploy/energies-17-00051.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__10__self_unit_commitment_of_combined_cycle_units_with_real_operational_con__c6281ef483.pdf,0,3,dispatch; unit commitment,dispatch; unit commitment; load,unit commitment neural network dispatch
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,energies,Energies,tj_p1_twin_gru_dispatch_11_convex_hull_pricing_for_unit_commitment_survey_ins,"Convex Hull Pricing for Unit Commitment: Survey, Insights, and Discussions",2024-09-27,2024,https://doi.org/10.3390/en17194851,https://doi.org/10.3390/en17194851,https://doi.org/10.3390/en17194851,https://doi.org/10.3390/en17194851,false,https://mdpi-res.com/d_attachment/energies/energies-17-04851/article_deploy/energies-17-04851.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__11__convex_hull_pricing_for_unit_commitment_survey_insights_and_discussion__af00d128c1.pdf,0,5,dispatch; unit commitment,dispatch; unit commitment; economic dispatch,unit commitment neural network dispatch
p1_twin_gru_dispatch,Digital Twin-Driven Siamese GRU for Load-Aware Multi-Objective Power Grid Dispatch Optimization,energies,Energies,tj_p1_twin_gru_dispatch_01_a_two_stage_energy_and_service_market_framework_in,A Two-Stage Energy and Service Market Framework Involving Unit Commitment and Network-Based Redispatch,2026-05-15,2026,https://doi.org/10.3390/en19102377,https://doi.org/10.3390/en19102377,https://doi.org/10.3390/en19102377,https://doi.org/10.3390/en19102377,false,https://mdpi-res.com/d_attachment/energies/energies-19-02377/article_deploy/energies-19-02377.pdf,papers/literature/target_journal_related/pdfs/p1_twin_gru_dispatch/p1_twin_gru_dispatch__01__a_two_stage_energy_and_service_market_framework_involving_unit_commitm__1bc5ffee79.pdf,0,0,dispatch; unit commitment; optimization,dispatch; unit commitment; load,unit commitment neural network dispatch
