name,role,predictor,description
Persistence,baseline,persistence,Last observed load value.
Seasonal-24h,baseline,seasonal24,Previous-day same-hour load.
Weekly-168h,baseline,seasonal168,Previous-week same-hour load.
MovingAverage-24h,baseline,ma24,Mean load over the previous 24 hours.
AR-Calendar Ridge,baseline,ar,Ridge autoregression with calendar features.
Euclidean-GCN Ridge,baseline,euclidean_graph,Autoregression plus correlation-weighted neighbor aggregate.
GCN-Temporal Ridge,baseline,gcn_temporal,Graph aggregate plus temporal weighted lag features.
HyG-LoadFormer,proposed,hyperbolic_graph,Hyperbolic-distance graph aggregate plus temporal forecasting features.
Ablation-EuclideanGraph,ablation,ablation_euclidean,Replace hyperbolic graph weights with Euclidean correlation weights.
Ablation-FixedCurvature,ablation,ablation_fixed_curvature,Use fixed curvature instead of target-adaptive curvature.
Ablation-TemporalOnly,ablation,ablation_temporal_only,Remove all neighbor graph features.
Ablation-NoCalendar,ablation,ablation_no_calendar,Remove calendar periodicity features.
Ablation-EqualNeighbors,ablation,ablation_equal_neighbors,Use equal neighbor weights instead of learned graph weights.
