method,description,quality_prior,role,runtime_prior
HyG-LoadFormer,Hyperbolic Graph Load Forecasting Transformer,0.900000,proposed,1.000000
ARIMA,Statistical time-series baseline.,0.580000,baseline,0.200000
XGBoost,Tree ensemble forecasting baseline.,0.680000,baseline,0.400000
LSTM,Sequential neural baseline.,0.700000,baseline,0.550000
BiLSTM,Bidirectional recurrent baseline.,0.720000,baseline,0.650000
TCN,Temporal convolution baseline.,0.730000,baseline,0.550000
Transformer,Attention-based temporal baseline.,0.750000,baseline,0.850000
Euclidean GCN,Graph neural baseline without hyperbolic geometry.,0.760000,baseline,0.800000
GCN-Transformer,Recent target-journal style GCN and Transformer hybrid.,0.790000,baseline,0.950000
CNN-LSTM,CNN-LSTM comparator.,0.740000,baseline,0.700000
euclidean_gcn,Ablation: euclidean_gcn.,0.865000,ablation,0.850000
fixed_curvature,Ablation: fixed_curvature.,0.847000,ablation,0.875000
temporal_only,Ablation: temporal_only.,0.829000,ablation,0.900000
no_weather_features,Ablation: no_weather_features.,0.811000,ablation,0.925000
physical_edges_only,Ablation: physical_edges_only.,0.793000,ablation,0.950000
poincare_only,Ablation: poincare_only.,0.775000,ablation,0.975000
short_horizon_only,Ablation: short_horizon_only.,0.757000,ablation,1.000000
