experiment_id,opponent,mean_proposed,mean_opponent,mean_difference,relative_difference_pct,p_raw,p_holm_stochastic_family,significant_005_holm,resolution,multiplicity_family,mechanism_scope
budget_constrained_selection,Ablation-LegacyDeletion,0.1643354503,0.16409891,0.0002365403333,0.1441449753,0.9117089753,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
budget_constrained_selection,Ablation-NoBackwardSearch,0.1643354503,0.1698322093,-0.005496759,-3.236582166,0.01273211462,0.1018569169,False,unresolved,14 stochastic opponents within scenario,atomic substitution
budget_constrained_selection,Ablation-NoForwardSearch,0.1643354503,0.1679743333,-0.003638883,-2.166332753,0.4552969069,1,False,unresolved,14 stochastic opponents within scenario,forward insertion
reliability_prioritized_review,Ablation-NoForwardSearch,0.1716926147,0.171239005,0.0004536096667,0.2648985648,0.009468269709,0.07574615767,False,unresolved,14 stochastic opponents within scenario,forward insertion
reliability_prioritized_review,Ablation-NoBackwardSearch,0.1716926147,0.172105177,-0.0004125623333,-0.2397152372,0.5493267843,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
reliability_prioritized_review,Ablation-LegacyDeletion,0.1716926147,0.1721358697,-0.000443255,-0.2575029835,0.923442132,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
renewable_accommodation_review,Ablation-LegacyDeletion,0.1726172533,0.173794233,-0.001176979667,-0.6772259622,0.2643262128,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
renewable_accommodation_review,Ablation-NoBackwardSearch,0.1726172533,0.1739436793,-0.001326426,-0.7625606202,0.2339889163,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
renewable_accommodation_review,Ablation-NoForwardSearch,0.1726172533,0.1732930393,-0.000675786,-0.3899671923,0.8072749507,1,False,unresolved,14 stochastic opponents within scenario,forward insertion
dependency_constrained_review,Ablation-NoBackwardSearch,0.1720847857,0.1725620947,-0.000477309,-0.2766013016,0.5894511694,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
dependency_constrained_review,Ablation-LegacyDeletion,0.1720847857,0.1725095153,-0.0004247296667,-0.2462065155,0.923442132,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
dependency_constrained_review,Ablation-NoForwardSearch,0.1720847857,0.171586946,0.0004978396667,0.2901384274,0.004856016397,0.03884813117,True,resolved_full_method_win,14 stochastic opponents within scenario,forward insertion
local_move_explainability,Ablation-LegacyDeletion,0.1766852243,0.1773141773,-0.000628953,-0.3547110612,0.304176818,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
local_move_explainability,Ablation-NoBackwardSearch,0.1766852243,0.1766128037,7.242066667e-05,0.0410053321,0.491782957,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
local_move_explainability,Ablation-NoForwardSearch,0.1766852243,0.1756197453,0.001065479,0.6066965864,0.001003531976,0.007024723833,True,resolved_full_method_win,14 stochastic opponents within scenario,forward insertion
ranking_robustness,Ablation-LegacyDeletion,0.1752503123,0.176367756,-0.001117443667,-0.6335872792,0.2282300668,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
ranking_robustness,Ablation-NoBackwardSearch,0.1752503123,0.1768597967,-0.001609484333,-0.910034029,0.2972716891,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
ranking_robustness,Ablation-NoForwardSearch,0.1752503123,0.1765402503,-0.001289938,-0.7306764308,0.6204037206,1,False,unresolved,14 stochastic opponents within scenario,forward insertion
budget_sensitivity,Ablation-NoForwardSearch,0.1596473373,0.162585246,-0.002937908667,-1.806995862,0.3183042275,1,False,unresolved,14 stochastic opponents within scenario,forward insertion
budget_sensitivity,Ablation-NoBackwardSearch,0.1596473373,0.1592614887,0.0003858486667,0.2422736783,0.923442132,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
budget_sensitivity,Ablation-LegacyDeletion,0.1596473373,0.159631642,1.569533333e-05,0.009832219438,0.9587314908,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
project_pool_scalability,Ablation-LegacyDeletion,0.1828764047,0.1824048817,0.000471523,0.2585034982,0.5297824906,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
project_pool_scalability,Ablation-NoBackwardSearch,0.1828764047,0.182366915,0.0005094896667,0.2793761504,0.9117089753,1,False,unresolved,14 stochastic opponents within scenario,atomic substitution
project_pool_scalability,Ablation-NoForwardSearch,0.1828764047,0.1817179417,0.001158463,0.6375061204,0.0002530578456,0.001771404919,True,resolved_full_method_win,14 stochastic opponents within scenario,forward insertion
