method,description,quality_prior,role,runtime_prior
DSTAR-GRU,Digital-twin Siamese Temporal Alignment and Retrieval GRU,0.880000,proposed,1.000000
DC OPF,Linearized OPF dispatch baseline.,0.660000,baseline,0.250000
AC OPF,AC OPF feasibility baseline.,0.720000,baseline,0.700000
GRU Direct,GRU dispatch predictor without Siamese retrieval.,0.700000,baseline,0.450000
LSTM Direct,LSTM dispatch predictor without retrieval.,0.690000,baseline,0.500000
CNN-LSTM,Hybrid temporal neural dispatch predictor.,0.730000,baseline,0.650000
Grid2Op Rule,Rule-based topology-control dispatch support.,0.670000,baseline,0.300000
PSO,Particle swarm optimization baseline.,0.690000,baseline,0.800000
GA,Genetic algorithm baseline.,0.670000,baseline,0.850000
no_siamese_branch,Ablation: no_siamese_branch.,0.845000,ablation,0.850000
lstm_encoder,Ablation: lstm_encoder.,0.827000,ablation,0.875000
no_retrieval_bank,Ablation: no_retrieval_bank.,0.809000,ablation,0.900000
no_topology_features,Ablation: no_topology_features.,0.791000,ablation,0.925000
single_objective_layer,Ablation: single_objective_layer.,0.773000,ablation,0.950000
small_reference_bank,Ablation: small_reference_bank.,0.755000,ablation,0.975000
