citation_id,title,authors,year,venue,doi_or_url,existence_status,metadata_status,context_status,evidence_source
ref1,"Multiobjective evolutionary algorithms: a comparative case study and the strength Pareto approach","Zitzler, E.; Thiele, L.",1999,"IEEE Transactions on Evolutionary Computation",https://doi.org/10.1109/4235.797969,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_pareto_scheme_comparison,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:824"
ref2,"Genetic local search for multi-objective combinatorial optimization","Jaszkiewicz, A.",2002,"European Journal of Operational Research",https://doi.org/10.1016/S0377-2217(01)00104-7,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_genetic_local_search,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:825"
ref3,"The multiobjective multidimensional knapsack problem: a survey and a new approach","Lust, T.; Teghem, J.",2012,"International Transactions in Operational Research",https://doi.org/10.1111/j.1475-3995.2011.00840.x,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_knapsack_survey_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:826"
ref4,"Recent Advances in Knapsack Problem: A Comprehensive Review of Models, Algorithms, and Applications","Feng, Y.; Hu, T.; Chen, X.-A.; Wang, G.-G.",2026,Neurocomputing,https://doi.org/10.1016/j.neucom.2025.132135,verified_frozen_crossref_record,corrected_and_matches_frozen_crossref_record,supported_for_recent_knapsack_taxonomy_only,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:827"
ref5,"Behavior of Multiobjective Evolutionary Algorithms on Many-Objective Knapsack Problems","Ishibuchi, H.; Akedo, N.; Nojima, Y.",2015,"IEEE Transactions on Evolutionary Computation",https://doi.org/10.1109/TEVC.2014.2315442,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_many_objective_knapsack_behavior,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:828"
ref6,"Pareto Ant Colony Optimization: A Metaheuristic Approach to Multiobjective Portfolio Selection","Doerner, K.; Gutjahr, W.J.; Hartl, R.F.; Strauss, C.; Stummer, C.",2004,"Annals of Operations Research",https://doi.org/10.1023/B:ANOR.0000039513.99038.c6,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_pareto_ant_colony_portfolio_selection,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:829"
ref7,"Solving a comprehensive model for multiobjective project portfolio selection","Carazo, A.F.; Gomez, T.; Molina, J.; Hernandez-Diaz, A.G.; Guerrero, F.M.; Caballero, R.",2010,"Computers & Operations Research",https://doi.org/10.1016/j.cor.2009.06.012,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_dependency_schedule_resource_portfolio_model,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:830"
ref8,"A Novel Hybrid Power-Grid Investment Optimization Model with Collaborative Consideration of Risk and Benefit","Gao, C.; Wang, X.; Li, D.; Han, C.; You, W.; Zhao, Y.",2023,Energies,https://doi.org/10.3390/en16207215,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_risk_benefit_grid_investment_model,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:831"
ref9,"A Hybrid Heuristic-Benders Method for Wind-Hydrogen Investment Planning with Non-Analytical Cost Functions","Xiong, H.; Feng, B.; Yan, F.; Kang, Y.; Hu, Y.; Li, Q.; Tan, Q.",2026,Energies,https://doi.org/10.3390/en19092172,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_hybrid_investment_planning_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:832"
ref10,"Multi-Stage Coordinated Planning for Transmission and Energy Storage Considering Large-Scale Renewable Energy Integration","Liang, Y.; Liu, H.; Zhou, H.; Meng, Z.; Liu, J.; Zhou, M.",2024,"Applied Sciences",https://doi.org/10.3390/app14156486,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_as_applied_sciences_planning_comparator,"manuscript/WAVE1_CHANGELOG.md:14,22; manuscript/journal_submission/paper.tex:833"
ref11,"Interruption Cost Estimation for Value-Based Reliability Investment in Emerging Smart Grid Resources","Bhattarai, S.; Karki, R.",2024,"Applied Sciences",https://doi.org/10.3390/app14198651,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_reliability_investment_valuation_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:834"
ref12,"Optimal Planning and Investment Return Analysis of Grid-Side Energy Storage System Addressing Multi-Dimensional Grid Security Requirements","Zhang, T.; Wu, J.; Hong, J.; Zhou, H.; Zheng, J.; Zheng, Z.; Niu, C.; Gao, Z.; Peng, L.; Lin, Z.",2025,"Applied Sciences",https://doi.org/10.3390/app152211944,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_grid_side_storage_planning_and_return_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:835"
ref13,"A Multi-Objective Optimization Framework for Optimal Configuration of Battery Energy Storage System in Peak Shaving and Valley Filling Scenarios","Shen, F.; Luo, Q.",2026,"Applied Sciences",https://doi.org/10.3390/app16052357,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_battery_configuration_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:836"
ref14,"The Analytic Hierarchy Process: Planning, Priority Setting, Resource Allocation","Saaty, T.L.",1980,McGraw-Hill,"book:no-doi",verified_canonical_book_record,matches_manuscript_record,supported_as_ahp_foundational_source,"manuscript/journal_submission/paper.tex:837; manuscript/related_work.md:52"
ref15,"Multiple Attribute Decision Making: Methods and Applications","Hwang, C.-L.; Yoon, K.",1981,"Lecture Notes in Economics and Mathematical Systems 186; Springer",book-no-doi-in-frozen-bibliography,verified_canonical_book_record,matches_frozen_manuscript_record,supported_as_topsis_foundational_source,"manuscript/journal_submission/paper.tex:838; manuscript/related_work.md:39"
ref16,"A Secondary-Data-Driven Decision Support Framework for Strategic Energy Investment Prioritization: An Explainable Multi-Criteria Application Across Countries","Mizrak, F.; Yasar, O.",2026,Energies,https://doi.org/10.3390/en19143243,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_explainable_multicriteria_energy_prioritization,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:839"
ref17,"A Review of Multi-Objective Optimization-Based Site Selection for Power Plants: Principles and Methods","Yang, L.; Zhao, S.; Gao, P.; Feng, X.; Guo, C.",2026,"Applied Sciences",https://doi.org/10.3390/app16136727,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_site_selection_review_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:840"
ref18,"Quantitative Evaluation of Crucial Substations and Simulation-Driven Impact Assessment of Commissioning Delays in Multi-Voltage Grid Planning","Lu, X.; Li, F.; Liu, J.; Yang, C.; Lin, L.",2025,Electronics,https://doi.org/10.3390/electronics14132633,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_simulation_based_substation_delay_assessment,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:841"
ref19,"A survey on investment efficiency-oriented power grid infrastructure planning","Wu, Q.; Zhou, M.; Yan, J.; Sang, Z.; Wang, S.",2025,"Frontiers in Energy Research",https://doi.org/10.3389/fenrg.2025.1561763,verified_frozen_crossref_record,author_list_corrected_and_matches_frozen_crossref_record,supported_for_grid_investment_planning_survey_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:842"
ref20,"A multi-objective genetic local search algorithm and its application to flowshop scheduling","Ishibuchi, H.; Murata, T.",1998,"IEEE Transactions on Systems, Man, and Cybernetics, Part C",https://doi.org/10.1109/5326.704576,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_weighted_sum_genetic_local_search,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:843"
ref21,"Approximating the Nondominated Front Using the Pareto Archived Evolution Strategy","Knowles, J.D.; Corne, D.W.",2000,"Evolutionary Computation",https://doi.org/10.1162/106365600568167,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_pareto_archived_local_search,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:844"
ref22,"A fast and elitist multiobjective genetic algorithm: NSGA-II","Deb, K.; Pratap, A.; Agarwal, S.; Meyarivan, T.",2002,"IEEE Transactions on Evolutionary Computation",https://doi.org/10.1109/4235.996017,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_as_nsga_ii_primary_source,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:845"
ref23,"MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition","Zhang, Q.; Li, H.",2007,"IEEE Transactions on Evolutionary Computation",https://doi.org/10.1109/TEVC.2007.892759,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_as_moead_primary_source,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:846"
ref24,"An Evolutionary Many-Objective Optimization Algorithm Using Reference-Point-Based Nondominated Sorting Approach, Part I: Solving Problems With Box Constraints","Deb, K.; Jain, H.",2014,"IEEE Transactions on Evolutionary Computation",https://doi.org/10.1109/TEVC.2013.2281535,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_as_nsga_iii_primary_source,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:847"
ref25,"Memetic algorithms and memetic computing optimization: A literature review","Neri, F.; Cotta, C.",2012,"Swarm and Evolutionary Computation",https://doi.org/10.1016/j.swevo.2011.11.003,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_memetic_review_scope,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:848"
ref26,"Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm","He, R.; Hao, J.; Zhou, H.; Chen, F.",2025,Energies,https://doi.org/10.3390/en18195232,verified_frozen_crossref_record,matches_frozen_crossref_record,supported_for_distribution_network_nsga_ii_comparator,"manuscript/WAVE1_CHANGELOG.md:14; manuscript/journal_submission/paper.tex:849"
