claim_id,source_id,evidence_locator,support_relation,verification_status
LIT-C01,ref5,"title; abstract/data-description; paper.tex:127",supports_public_power_flow_benchmark_asset,verified
LIT-C02,ref7,"title; software-method description; paper.tex:487",supports_ac_power_flow_tool_identity_only,verified_scope_limited
LIT-C03,ref8,"title and review scope; paper.tex:59",supports_active_distribution_planning_taxonomy,verified
LIT-C04,ref10,"title and publisher abstract",supports_uncertainty_aware_distribution_expansion_method,verified
LIT-C05,ref11,"publisher title and abstract",supports_source_network_storage_expansion_with_scenario_generation,verified
LIT-C06,ref12,"title and publisher metadata",supports_reinforcement_restoration_islanding_scope,verified
LIT-C07,ref15,"title and publisher metadata",supports_storage_ev_distribution_optimization_with_improved_nsga_ii,verified
LIT-C08,ref16,"title and publisher metadata",supports_explicit_dg_capacitor_ev_siting_actions,verified
LIT-C09,ref17,"title and publisher metadata",supports_multi_objective_storage_planning_application,verified
LIT-C10,ref18,"title and venue",analogue_only_transmission_expansion_not_distribution_validation,verified_scope_limited
LIT-C11,ref19,"title and publisher metadata",analogue_only_economic_dispatch_not_expansion_planning,verified_scope_limited
LIT-C12,SRC-A1,"abstract and Sections 2.1-2.2; DOI 10.1016/j.egyr.2022.12.064",supports_action_aligned_substation_transformer_feeder_res_bess_investment_and_operational_constraints,verified_current_full_text
LIT-C13,SRC-A2,"abstract; arXiv 1909.12667",supports_explicit_ess_site_size_decisions_with_ac_opf_scope,verified_current_abstract
LIT-C14,ref2,"title; method description; paper.tex:332",supports_jde_style_F_CR_self_adaptation_on_numerical_benchmarks,verified_scope_limited
LIT-C15,ref3,"title; method description; paper.tex:336",supports_success_based_strategy_adaptation_on_continuous_benchmarks,verified_scope_limited
LIT-C16,ref24,"title and proceedings metadata",supports_success_history_parameter_adaptation_lineage,verified_scope_limited
LIT-C17,ref25,"title and journal metadata",supports_composite_strategy_parameter_lineage,verified_scope_limited
LIT-C18,ref29,"title and survey scope",supports_constraint_handling_taxonomy,verified
LIT-C19,ref30,"method scope",supports_feasibility_based_constraint_selection_not_budget_repair_effectiveness,verified_scope_limited
LIT-C20,ref20,"original indicator lineage; paper.tex:123",supports_hypervolume_definition,verified
LIT-C21,SRC-M1,"title and abstract; DOI 10.1145/2739480.2754792",supports_igd_plus_weak_pareto_compliance_and_evaluation_role,verified_current_abstract
LIT-C22,ref32,"abstract and bibliographic record; paper.tex:465",supports_sequentially_rejective_multiplicity_control,verified
LIT-C23,ref4,"comparative benchmark scope",supports_need_for_cross_benchmark_comparison_but_not_power_engineering_validity,verified_scope_limited
LIT-C24,ref21,"platform title and scope",supports_moea_evaluation_infrastructure_not_reproducibility_claim_by_itself,verified_scope_limited
LIT-C25,ref22,"title and publisher scope",supports_benchmarking_risk_warning_not_engineering_validation,verified_scope_limited
LIT-C26,ref1,"original DE method",method_mechanism_only_not_distribution_planning_validation,verified_scope_limited
LIT-C27,ref27,"NSGA-II method and crowding",method_mechanism_only_not_distribution_planning_validation,verified_scope_limited
LIT-C28,ref28,"MOEA/D decomposition method",method_mechanism_only_not_distribution_planning_validation,verified_scope_limited
LIT-C29,P3-C04,"CLAIM_EVIDENCE_REGISTER.md P3-C04; paper.tex:332-336",current_combined_switch_cannot_identify_parameter_vs_strategy_adaptation,verified_internal_boundary
LIT-C30,P3-C05,"CLAIM_EVIDENCE_REGISTER.md P3-C05; paper.tex:487",current_ac_panel_is_illustrative_and_dependent_not_end_to_end_candidate_validation,verified_internal_boundary
LIT-C31,P3-C06,"CLAIM_EVIDENCE_REGISTER.md P3-C06; MANUSCRIPT.md:94-190",current_variables_are_portfolio_proxies_not_bus_line_project_actions,verified_internal_boundary
