paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p4_shield_resilience_planning,Energies,SHIELD-MOEA: Scenario Handling with Isolated Evaluation and Lookahead for Distribution-Network Resilience Planning,1,15,17,25,1,BLOCK,P0_PLACEHOLDER,**Authors:** [AUTHOR INPUT REQUIRED: final author list and ORCIDs] **Affiliations:** [AUTHOR INPUT REQUIRED: complete institutional addresses] **Correspondence:** [AUTHOR INPUT REQUIRED: corresponding author name and e-mail]
mintou_p4_shield_resilience_planning,Energies,Abstract,2,21,21,183,10,REVISE,P1_LONG_PARAGRAPH,"Distribution network planning under load, distributed-energy-resource, and outage uncertainty requires portfolios that remain useful as binding stresses change. SHIELD-MOEA extends non-dominated sorting with selective worst-scenario screeni"
mintou_p4_shield_resilience_planning,Energies,Abstract,3,23,23,20,1,PASS,,**Keywords:** distribution network planning; power system resilience; scenario screening; multi-objective evolutionary optimization; DER uncertainty; NSGA-II; SimBench; AC power flow validation
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,29,29,90,5,PASS,,"Resilience has moved from the margins of distribution planning to its center. Storm-driven outages, heat-wave load peaks, rooftop photovoltaics, and other distributed energy resources (DERs) create stress combinations not represented by his"
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,31,31,108,6,PASS,,"Current methods leave a gap at the interface between the optimizer and the uncertainty model. Robust planning formulations can focus on a single worst case and scalarize the objective space, limiting visibility of the cost-resilience trade "
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,33,33,100,5,PASS,,"This paper proposes SHIELD-MOEA, a scenario-selective extension of non-dominated sorting for distribution resilience planning. The algorithm retains a standard multi-objective backbone--crowding-based selection, hybrid GA/DE variation, and "
mintou_p4_shield_resilience_planning,Energies,1. Introduction,7,35,35,55,4,PASS,,"Real resilience-investment records are utility-internal, so evaluation uses a reproducible SimBench-derived benchmark [7]. Statistics from the 18 highest-stress subnets generate 72 candidate actions. Eight experiments vary load, DER, and ou"
mintou_p4_shield_resilience_planning,Energies,1. Introduction,8,37,37,6,1,PASS,,The contributions of this paper are:
mintou_p4_shield_resilience_planning,Energies,1. Introduction,9,44,44,75,4,PASS,,"Screening concentrates search-phase effort on difficult scenarios. At the default setting, it removes 65% of plan--scenario evaluations without a detected change in mean front quality; the screening-off ablation differs by -0.48%, and perio"
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,46,46,38,6,PASS,,"The paper proceeds as follows. Section 2 reviews related work. Section 3 defines the planning problem and the public benchmark. Section 4 describes SHIELD-MOEA. Section 5 gives the experimental protocol. Section 6 reports results, Section 7"
mintou_p4_shield_resilience_planning,Energies,2. Related Work,11,52,52,53,2,PASS,,"SHIELD-MOEA draws on three bodies of literature that have so far evolved largely in parallel: resilience-oriented distribution planning under N-k and extreme-weather uncertainty, scenario generation and reduction for stochastic power system"
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,56,56,87,6,PASS,,"Panteli and Mancarella [8] distinguish high-impact, low-probability events from ordinary reliability and hardening from operational adaptation. Bhusal et al. [9] document the rapid growth of planning-stage resilience research. The dominant "
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,13,58,58,66,5,PASS,,"Practice-oriented studies consider resilient storage siting [11], zone-wise planning under decision-dependent uncertainty [12], and genetic-algorithm-driven feeder hardening [13]. Related work addresses resilient renewable microgrids [14] a"
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,14,60,60,87,4,PASS,,"A consistent pattern emerges across these studies. The trilevel robust models protect against a single worst case and collapse the objective space to one scalar, so the planner never sees the cost-resilience trade surface. The metaheuristic"
mintou_p4_shield_resilience_planning,Energies,"2.2. Scenario Generation, Reduction, and Screening in Stochastic Power System Optimization",15,64,64,63,5,PASS,,The second thread represents uncertainty through scenarios. Classical reduction selects a subset while minimizing probability distance; reference approaches include the Fortet–Mourier formulation [18] and forward/backward reduction [19]. Po
mintou_p4_shield_resilience_planning,Energies,"2.2. Scenario Generation, Reduction, and Screening in Stochastic Power System Optimization",16,66,66,65,4,PASS,,"Recent work moves scenario machinery inside optimization. Li et al. learn an ambiguity set for distributionally robust DG planning [26], while Zhou et al. use extreme-event scenarios in integrated energy planning [27]. Decision-dependent un"
mintou_p4_shield_resilience_planning,Energies,"2.2. Scenario Generation, Reduction, and Screening in Stochastic Power System Optimization",17,68,68,71,5,PASS,,"Most reductions are executed once, judged by distributional fidelity, and reused for every evaluation. The scenarios guiding search are therefore also used to grade the result. This distinction may be less important in a single monolithic s"
mintou_p4_shield_resilience_planning,Energies,2.3. Hybrid Multi-Objective Evolutionary Algorithms and Robustness-Aware Objectives,18,72,72,55,4,PASS,,"The third thread concerns the optimizer. NSGA-II [30] and MOEA/D [31] remain common frameworks, with hypervolume [32] measuring front quality. Differential evolution [33] supplies mutation behavior complementary to GA crossover, and Das and"
mintou_p4_shield_resilience_planning,Energies,2.3. Hybrid Multi-Objective Evolutionary Algorithms and Robustness-Aware Objectives,19,74,74,43,3,PASS,,"Recent work evaluates candidate solutions across fixed scenario sets [37] or combines decision preferences with variable-level uncertainty [38]. In both cases, the uncertainty set remains fixed during the run. SHIELD-MOEA tests periodic sce"
mintou_p4_shield_resilience_planning,Energies,2.3. Hybrid Multi-Objective Evolutionary Algorithms and Robustness-Aware Objectives,20,76,76,68,4,PASS,,"Recent power-planning studies hybridize evolutionary variation. Examples include an improved NSGA-II for storage-and-EV co-optimization [39], a three-stage TER-NSGA-II for resilient backbone-grid planning [40], and an enhanced beluga whale "
mintou_p4_shield_resilience_planning,Energies,2.3. Hybrid Multi-Objective Evolutionary Algorithms and Robustness-Aware Objectives,21,78,78,57,4,PASS,,SHIELD-MOEA instead treats the evaluated scenario subset as a search-time quantity. The subset is periodically updated toward scenarios that are difficult for the current population. Evaluation on a disjoint scoring set then reports both me
