paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p1_dstar_gru_dispatch,IEEE Access,An Operating-State Retrieval Framework and Reproducible Curtailment-Risk Benchmark for Power System Decision Support,1,19,21,25,1,BLOCK,P0_PLACEHOLDER,**Authors:** [AUTHOR INPUT REQUIRED: final author list and public ORCIDs] **Affiliations:** [AUTHOR INPUT REQUIRED: complete institutional addresses] **Corresponding author:** [AUTHOR INPUT REQUIRED: name and e-mail]
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,2,25,25,184,8,REVISE,P1_LONG_PARAGRAPH,"Public evaluation assets for renewable-curtailment forecasting remain limited because studies commonly use private single-system data, task-specific targets, and incomparable protocols. We construct a reproducible curtailment-risk benchmark"
mintou_p1_dstar_gru_dispatch,IEEE Access,Abstract,3,27,27,18,1,PASS,,"**Index Terms** — renewable energy curtailment, benchmark, reproducibility, case-based retrieval, metric learning, time-series forecasting, early warning, RTS-GMLC, naive baselines"
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,4,33,33,83,5,PASS,,"High instantaneous wind and solar shares can force curtailment when acceptance limits bind. International reviews document volumes and causes across multiple systems [1], national studies identify their drivers [2], and planning analyses sh"
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,5,35,35,123,5,PASS,,"Anticipating curtailment, however, currently has no shared measurement infrastructure. Each study forecasts its own signal on its own (usually private) data with its own evaluation conventions; no public benchmark defines the task, no evalu"
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,6,37,37,112,5,PASS,,"A second, older gap concerns *how* decision support should use historical operating experience. Retrieving similar past situations is a recurring idea in power-system decision support. Its uses range from similar-day load forecasting in ear"
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,7,39,39,28,2,PASS,,This paper addresses both gaps through a framework-and-benchmark study in which retrieval is evaluated as a conditional mechanism rather than assumed to be uniformly beneficial. The contributions are:
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,8,45,45,28,1,PASS,,"Together, these contributions turn a sparse proxy series into a benchmark that distinguishes continuation accuracy from onset warning and exposes when operating-state retrieval is helpful, neutral, or harmful."
mintou_p1_dstar_gru_dispatch,IEEE Access,I. Introduction,9,47,47,39,3,PASS,,"Section II reviews the relevant literature, and Section III specifies the benchmark. Sections IV–V define the framework, controls, and experimental protocol. Sections VI–VII report and interpret the results, followed by limitations and conc"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Curtailment forecasting and renewable accommodation assessment,10,55,55,65,4,PASS,,"The empirical curtailment literature is predominantly retrospective. Bird et al. [1] review international levels, causes, and mitigation, while Luo et al. [2] analyze China's Three-North wind curtailment. Yasuda et al. [11] relate annual cu"
mintou_p1_dstar_gru_dispatch,IEEE Access,A. Curtailment forecasting and renewable accommodation assessment,11,57,57,149,7,REVISE,P1_STRONG_CLAIM_CHECK,The predictive strand is thin and system-specific. O'Sullivan et al. [4] establish the frequency-stability basis of the Irish SNSP limit — the operational cap that makes curtailment a deterministic function of load and renewable trajectorie
mintou_p1_dstar_gru_dispatch,IEEE Access,"B. Retrieval, analogues, and metric learning in power system decision support",12,61,61,144,5,PASS,,Reasoning from similar past operating states is a recurring proposal with a long pedigree. Rahman and Bhatnagar [15] encoded similar-day operator heuristics in a 1988 expert-system load forecaster; Mandal et al. [16] retrieved Euclidean sim
mintou_p1_dstar_gru_dispatch,IEEE Access,"B. Retrieval, analogues, and metric learning in power system decision support",13,63,63,84,5,REVISE,P1_STRONG_CLAIM_CHECK,"Two properties are shared by all of these works. First, each validates retrieval at one task and one horizon (or one narrow horizon band), on data specific to that study. Second, none includes matched non-retrieval controls that would isola"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Naive baselines and benchmark design in time-series forecasting,14,67,67,42,4,PASS,,"Forecasting competitions motivate the benchmark protocol. M3 shows that sophisticated methods do not necessarily beat simple references [22]. Hyndman and Koehler demonstrate that common errors can degenerate on intermittent, near-zero serie"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Naive baselines and benchmark design in time-series forecasting,15,69,69,55,4,PASS,,"In energy forecasting, GEFCom2014 establishes competition-grade protocol design [26], and community guidance requires verification against persistence and other standardized references [27]. Surveys identify temporal leakage, missing naive "
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Naive baselines and benchmark design in time-series forecasting,16,71,71,75,3,PASS,,"Recent IEEE Access load-forecasting studies continue to combine temporal representation learning with tensor graph convolution or TimesNet--Crossformer--LSTM stacks [29], [30]. Their prediction targets differ from curtailment onset, but the"
mintou_p1_dstar_gru_dispatch,IEEE Access,C. Naive baselines and benchmark design in time-series forecasting,17,73,73,55,3,REVISE,P1_STRONG_CLAIM_CHECK,"This literature supplies our main design rules: persistence and seasonal-naive must be first-class methods; sparse series require event- and onset-level metrics; and evaluation requires temporal splits, multiple seeds, and multiplicity corr"
