paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p4_shield_resilience_planning,Energies,SHIELD-MOEA: Scenario Handling with Isolated Evaluation and Lookahead for Distribution-Network Resilience Planning,1,1,15,25,BLOCK,P0_PLACEHOLDER,投稿前填入经作者确认的信息，删除占位标记,**Authors:** [AUTHOR INPUT REQUIRED: final author list and ORCIDs] **Affiliations:** [AUTHOR INPUT REQUIRED: complete institutional addresses] **Correspondence:** [AUTHOR INPUT REQUIRED: corresponding author name and e-mail]
mintou_p4_shield_resilience_planning,Energies,Abstract,2,2,21,18,PASS,,,"Distribution network planning under load, distributed-energy-resource, and outage uncertainty requires portfolios that remain useful as binding stresses change."
mintou_p4_shield_resilience_planning,Energies,Abstract,2,3,21,18,PASS,,,"SHIELD-MOEA extends non-dominated sorting with selective worst-scenario screening and, critically, disjoint scenario draws for search and final evaluation."
mintou_p4_shield_resilience_planning,Energies,Abstract,2,4,21,26,PASS,,,"On a reproducible SimBench-derived benchmark with 72 candidate actions, five objectives, and eight uncertainty experiments, the method reaches pooled mean hypervolume 0.2740 over 30 seeded runs per stochastic method."
mintou_p4_shield_resilience_planning,Energies,Abstract,2,5,21,11,PASS,,,This is 5.09% above the strongest repair-matched baseline and 5.56% above plain NSGA-II.
mintou_p4_shield_resilience_planning,Energies,Abstract,2,6,21,20,PASS,,,All 32 comparisons with four stochastic baselines are Holm-significant wins; sixteen gaps to two deterministic rules are descriptive and favor SHIELD-MOEA.
mintou_p4_shield_resilience_planning,Energies,Abstract,2,7,21,15,PASS,,,The margin persists for sampled worst-envelope hypervolume (+5.36%) and under evaluation stresses outside the search ranges (+6.04%).
mintou_p4_shield_resilience_planning,Energies,Abstract,2,8,21,7,PASS,,,Feasibility repair carries the main measured gain.
mintou_p4_shield_resilience_planning,Energies,Abstract,2,9,21,27,PASS,,,"Screening reduces recorded search-phase plan--scenario evaluations by 65%, although no front-quality difference is detected against no screening; hybrid variation and periodic re-screening are also unresolved against simpler controls."
mintou_p4_shield_resilience_planning,Energies,Abstract,2,10,21,19,PASS,,,"A 1296-case composition-level AC check across six networks yields aggregate feasibility 0.685, compared with 0.389 without planning and 0.694 for matched-repair NSGA-II."
mintou_p4_shield_resilience_planning,Energies,Abstract,2,11,21,22,PASS,,,"The evidence supports a disjoint-evaluation planning workflow and selective scenario exposure, while identifying repair--rather than every named operator--as the resolved performance mechanism."
mintou_p4_shield_resilience_planning,Energies,Abstract,3,12,23,20,PASS,,,**Keywords:** distribution network planning; power system resilience; scenario screening; multi-objective evolutionary optimization; DER uncertainty; NSGA-II; SimBench; AC power flow validation
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,13,29,12,PASS,,,Resilience has moved from the margins of distribution planning to its center.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,14,29,22,PASS,,,"Storm-driven outages, heat-wave load peaks, rooftop photovoltaics, and other distributed energy resources (DERs) create stress combinations not represented by historical load-duration curves."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,15,29,9,PASS,,,"Reliability-report archives document the resulting operational and economic consequences [1,2]."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,16,29,25,PASS,,,"At the same time, feeder reinforcement, storage, DER integration, and automation interact through a shared budget, and their value depends on the realized stress scenario."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,4,17,29,22,PASS,,,"The planning decision is therefore inherently multi-objective: investment cost against losses, voltage exposure, reliability, and survivability under outages, all under scenario uncertainty."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,18,31,15,PASS,,,Current methods leave a gap at the interface between the optimizer and the uncertainty model.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,19,31,22,PASS,,,"Robust planning formulations can focus on a single worst case and scalarize the objective space, limiting visibility of the cost-resilience trade surface [3,4]."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,20,31,17,PASS,,,"Evolutionary multi-objective methods expose that surface, but commonly evaluate candidates on a scenario set fixed before search [5,6]."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,21,31,15,PASS,,,"The scenarios binding for mature plans, however, may differ from those affecting the initial population."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,22,31,19,PASS,,,"When the same scenario sample steers and grades the search, sample-specific adaptation is also difficult to distinguish from robustness."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,5,23,31,20,PASS,,,Distribution utility planning departments instead require investment fronts that remain defensible under stress scenarios not used to tune the plans.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,24,33,14,PASS,,,"This paper proposes SHIELD-MOEA, a scenario-selective extension of non-dominated sorting for distribution resilience planning."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,25,33,23,PASS,,,"The algorithm retains a standard multi-objective backbone--crowding-based selection, hybrid GA/DE variation, and greedy feasibility repair--and places its contribution at the optimizer--uncertainty interface."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,26,33,21,PASS,,,"Every few generations, it identifies the $K$ scenarios on which the current population performs worst and uses them for search-phase fitness."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,27,33,25,PASS,,,"The final front is evaluated on a complete scenario set generated with disjoint random seeds, preventing direct reuse of search realizations in the reported score."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,6,28,33,17,PASS,,,We report mean and sampled worst-envelope hypervolume and supplement the proxy evaluation with pandapower AC power flow.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,7,29,35,12,PASS,,,"Real resilience-investment records are utility-internal, so evaluation uses a reproducible SimBench-derived benchmark [7]."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,7,30,35,8,PASS,,,Statistics from the 18 highest-stress subnets generate 72 candidate actions.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,7,31,35,21,PASS,,,"Eight experiments vary load, DER, and outage uncertainty, including an unseen-stress setting whose evaluation scenarios are harsher than the search scenarios."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,7,32,35,14,PASS,,,"Candidate generation is shared with CARS-MODE (Section 2.4), as declared in the Data Availability Statement."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,8,33,37,6,PASS,,,The contributions of this paper are:
mintou_p4_shield_resilience_planning,Energies,1. Introduction,9,34,44,7,PASS,,,Screening concentrates search-phase effort on difficult scenarios.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,9,35,44,34,PASS,,,"At the default setting, it removes 65% of plan--scenario evaluations without a detected change in mean front quality; the screening-off ablation differs by -0.48%, and periodic re-screening does not outperform a generation-1 fixed worst-$K$ set."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,9,36,44,19,PASS,,,"Because the present objectives are closed-form, the call reduction does not translate into lower wall-clock time at this scale."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,9,37,44,15,PASS,,,"Screening therefore supplies selective exposure and evaluation economy, while repair carries the resolved component gain."
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,38,46,5,PASS,,,The paper proceeds as follows.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,39,46,4,PASS,,,Section 2 reviews related work.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,40,46,9,PASS,,,Section 3 defines the planning problem and the public benchmark.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,41,46,3,PASS,,,Section 4 describes SHIELD-MOEA.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,42,46,5,PASS,,,Section 5 gives the experimental protocol.
mintou_p4_shield_resilience_planning,Energies,1. Introduction,10,43,46,12,PASS,,,"Section 6 reports results, Section 7 discusses them, Section 8 states limitations, and Section 9 concludes."
mintou_p4_shield_resilience_planning,Energies,2. Related Work,11,44,52,40,PASS,,,"SHIELD-MOEA draws on three bodies of literature that have so far evolved largely in parallel: resilience-oriented distribution planning under N-k and extreme-weather uncertainty, scenario generation and reduction for stochastic power system optimization, and hybrid multi-objective evolutionary algorithms with robustness-aware objectives."
mintou_p4_shield_resilience_planning,Energies,2. Related Work,11,45,52,13,PASS,,,Below we discuss each thread and identify the gap that motivates this paper.
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,46,56,15,PASS,,,"Panteli and Mancarella [8] distinguish high-impact, low-probability events from ordinary reliability and hardening from operational adaptation."
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,47,56,11,PASS,,,Bhusal et al. [9] document the rapid growth of planning-stage resilience research.
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,48,56,13,PASS,,,The dominant paradigm is robust optimization over an $N-k$ or weather-driven uncertainty set.
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,49,56,12,PASS,,,Yuan et al. [3] formulate a two-stage robust problem with adversarial component outages.
mintou_p4_shield_resilience_planning,Energies,2.1. Resilience-Oriented Distribution Planning and Hardening Decisions,12,50,56,24,PASS,,,"Ma et al. [5] extend this logic to joint hardening and distributed-generation placement with wind-dependent fragility, while Lin and Bie [6] add reconfiguration and DG islanding."
