pair,kind,similarity,left,right
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,# CARS-MODE: Constraint-Aware Repair and Strategy-Pool Multi-Objective Differential Evolution for Distribution Network Expansion Planning,CARS-MODE: Constraint-Aware Repair and Strategy-Pool Multi-Objective Differential Evolution for Distribution Network Expansion Planning.
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"| MOEA/D | baseline | pymoo MOEA/D, budget as penalty |","| MOEA/D | baseline | pymoo MOEA/D, budget as penalty |"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,| Weighted Sum | baseline | weighted-benefit greedy fill under budget |,| Weighted Sum | baseline | weighted-benefit greedy fill under budget |
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"[AUTHOR INPUT REQUIRED: insert the verified funder, grant number, and APC funder, or state ""This research received no external funding.""]","[AUTHOR INPUT REQUIRED: insert the verified funder, grant number, and APC funder, or state ""This research received no external funding.""]"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"A persistent public archive can be supplied before publication, subject to source-data terms.","A persistent public archive can be supplied before publication, subject to source-data terms."
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Differential Evolution -- A Simple and Efficient Heuristic for Global Optimization over Continuous Spaces. *Journal of Global Optimization* **1997**, *11*(4), 341--359. https://doi.org/10.1023/A:1008202821328","Differential evolution -- A simple and efficient heuristic for global optimization over continuous spaces. *Journal of Global Optimization* **1997**, *11*(4), 341-359. https://doi.org/10.1023/A:1008202821328"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"SimBench -- A Benchmark Dataset of Electric Power Systems to Compare Innovative Solutions Based on Power Flow Analysis. *Energies* **2020**, *13*(12), 3290. https://doi.org/10.3390/en13123290","SimBench -- A benchmark dataset of electric power systems to compare innovative solutions based on power flow analysis. *Energies* **2020**, *13*(12), 3290. https://doi.org/10.3390/en13123290"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Blank, J.; Deb, K. pymoo: Multi-Objective Optimization in Python. *IEEE Access* **2020**, *8*, 89497--89509. https://doi.org/10.1109/ACCESS.2020.2990567","Blank, J.; Deb, K. pymoo: Multi-objective optimization in Python. *IEEE Access* **2020**, *8*, 89497-89509. https://doi.org/10.1109/ACCESS.2020.2990567"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Multi-Objective Collaborative Optimization of Distribution Networks with Energy Storage and Electric Vehicles Using an Improved NSGA-II Algorithm. *Energies* **2025**, *18*(19), 5232. https://doi.org/10.3390/en18195232","Multi-objective collaborative optimization of distribution networks with energy storage and electric vehicles using an improved NSGA-II algorithm. *Energies* **2025**, *18*(19), 5232. https://doi.org/10.3390/en18195232"
mintou_p3_samode_distribution_planning__mintou_p4_shield_resilience_planning,exact,1.0000,"Qi, H.; Zhao, C.; Yan, X.; Zhang, W.; Guo, F.; Zhang, L.; Yang, B.; Lu, H.","Qi, H.; Zhao, C.; Yan, X.; Zhang, W.; Guo, F.; Zhang, L.; Yang, B.; Lu, H."
