paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p6_bilonsga_project_review,Applied Sciences,BiLo-NSGA: Forward-Dominant Project-Level Local Search for Budget-Constrained Power Grid Portfolio Review,1,14,16,32,2,PASS,,"**Authors:** Yubin Lin (林宇彬), Jingbo Zhang (张劲波), Xiaoyu Huang (黄晓予), Dishan Yang (杨迪珊), Jiyu Li (李继宇) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, Chi"
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,20,20,167,8,PASS,,"Utility review boards must select grid investment portfolios under hard annual budgets, yet independent project scores ignore portfolio interactions and generic evolutionary operators do not express changes in review terms. BiLo-NSGA embeds"
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,3,22,22,18,1,PASS,,**Keywords:** power grid investment planning; project portfolio selection; budget constraint; multi-objective evolutionary optimization; NSGA-II; local search; decision traceability
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,4,28,28,78,4,PASS,,"Power systems face substantial capital requirements from renewable integration, storage deployment, feeder automation, and reinforcement backlogs. NERC reliability reports document the consequences associated with delayed investment in spec"
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,5,30,30,68,4,PASS,,"Current review practice balances traceability against portfolio interaction. AHP/TOPSIS-style scoring exposes each ranking step but evaluates projects independently, omitting budget crowding-out, dependency synergies, and conditional margin"
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,6,32,32,88,5,PASS,,BiLo-NSGA retains a standard NSGA-II kernel and changes the variation stage through project-level local search. The forward pass inserts an affordable project while budget slack remains. The backward-side operation is an atomic substitution
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,7,34,34,120,6,PASS,,"We state at the outset that the local search is *forward-dominant rather than uniformly beneficial*. Removing forward insertion is harmful in three scenarios under the primary family, but the ablation has the higher pooled mean because othe"
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,8,36,36,75,5,PASS,,A second obstacle is the scarcity of public grid investment-review records. We therefore construct a reproducible benchmark of 120 candidate projects in six archetypes. The candidates are derived deterministically from RTS-GMLC production-c
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,9,38,38,6,1,PASS,,The contributions of this paper are:
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,10,45,45,43,7,PASS,,The remainder of the paper is organized as follows. Section 2 reviews related work. Section 3 formalizes the problem and describes the public benchmark. Section 4 presents BiLo-NSGA. Section 5 details the experimental protocol. Section 6 re
mintou_p6_bilonsga_project_review,Applied Sciences,2. Related Work,11,51,51,50,2,PASS,,"Our work sits at the intersection of three research threads: budget-constrained combinatorial optimization and project portfolio selection, investment planning and project review practice in power grids, and local-search-enhanced multi-obje"
mintou_p6_bilonsga_project_review,Applied Sciences,2.1. Budget-Constrained Combinatorial Optimization and Project Portfolio Selection,12,55,55,58,4,PASS,,Selecting items under a budget is the multi-objective knapsack setting used by Zitzler and Thiele [1] to compare Pareto-based schemes. Problem-aware search is important in this landscape. Jaszkiewicz [2] shows that local search over scalari
mintou_p6_bilonsga_project_review,Applied Sciences,2.1. Budget-Constrained Combinatorial Optimization and Project Portfolio Selection,13,57,57,71,5,PASS,,"Portfolio studies respond with tailored search. Doerner et al. [6] apply Pareto ant colony optimization, while Carazo et al. [7] model dependencies, schedules, and resource limits with explicit feasibility handling. Energy applications incl"
mintou_p6_bilonsga_project_review,Applied Sciences,2.2. Power Grid Investment Planning and Project Review Decision Methods,14,61,61,56,3,PASS,,"Grid investment research divides between expansion optimization and multi-criteria review. Optimization studies coordinate transmission and storage [10], value reliability through interruption cost [11], assess grid-side storage returns [12"
mintou_p6_bilonsga_project_review,Applied Sciences,2.2. Power Grid Investment Planning and Project Review Decision Methods,15,63,63,68,5,PASS,,"Review practice commonly uses AHP [14] and TOPSIS [15]. Recent extensions add objective weighting and explainability [16], while site-selection reviews show growing use of multi-objective optimization [17]. MCDM is traceable but scores proj"
mintou_p6_bilonsga_project_review,Applied Sciences,2.3. Local-Search-Enhanced Multi-Objective Evolutionary Algorithms,16,67,67,61,3,PASS,,"Hybridizing evolutionary search with local refinement is a long-standing multi-objective strategy. Ishibuchi and Murata [20] apply weighted-sum local moves after genetic variation, while Knowles and Corne [21] show that a $(1+1)$ local sear"
mintou_p6_bilonsga_project_review,Applied Sciences,2.3. Local-Search-Enhanced Multi-Objective Evolutionary Algorithms,17,69,69,45,3,PASS,,"Power-system studies apply improved NSGA-II variants to distribution-network co-optimization [26], offshore-wind storage configuration [27], and resilient backbone-grid planning [28]. Enhanced swarm methods address storage planning [29] and"
mintou_p6_bilonsga_project_review,Applied Sciences,2.3. Local-Search-Enhanced Multi-Objective Evolutionary Algorithms,18,71,71,49,4,PASS,,"Portfolio-scheduling studies also combine NSGA-II with Pareto local search [31]. More recent methods tailor local refinement to cardinality and pre-assignment constraints [32]. However, these hybrids neither express moves as adding, removin"
mintou_p6_bilonsga_project_review,Applied Sciences,2.4. Relation to TRACE-MOEA and Gap Statement,19,75,75,66,5,PASS,,"TRACE-MOEA addresses power-grid project review through preference-adaptive ranking, review-rule repair, and a trace archive. Its contribution acts at selection and ranking. BiLo-NSGA instead changes variation through forward insertion, atom"
mintou_p6_bilonsga_project_review,Applied Sciences,2.4. Relation to TRACE-MOEA and Gap Statement,20,77,77,62,5,PASS,,"The resulting gap is specific. Existing knapsack MOEAs generally handle budgets through penalties or post-variation repair. Grid MCDM is traceable but portfolio-blind, and memetic MOEAs express refinement numerically rather than as reviewab"
mintou_p6_bilonsga_project_review,Applied Sciences,3.1. Budget-Constrained Portfolio Review as Multi-Objective Selection,21,85,85,61,5,PASS,,"Let $\mathcal{C} = \{c_1, \dots, c_n\}$ be the candidate pool. Each project has cost $k_i$, reliability benefit $r_i$, renewable-accommodation benefit $g_i$, load-support value, compliance and evidence scores, and schedule and implementatio"
mintou_p6_bilonsga_project_review,Applied Sciences,3.1. Budget-Constrained Portfolio Review as Multi-Objective Selection,22,91,91,6,1,PASS,,subject to the **hard budget constraint**
mintou_p6_bilonsga_project_review,Applied Sciences,3.1. Budget-Constrained Portfolio Review as Multi-Objective Selection,23,103,103,62,2,PASS,,"The four minimization objectives are thus total cost, negated reliability benefit, negated renewable benefit, and mean per-project risk. The budget is not a soft preference: portfolios exceeding $B$ are not fundable, which is why the benchm"
mintou_p6_bilonsga_project_review,Applied Sciences,3.1. Budget-Constrained Portfolio Review as Multi-Objective Selection,24,105,105,53,3,PASS,,A portfolio $x$ dominates $x'$ when it is at least as good in all four objectives and better in at least one. The non-dominated front contains mutually non-dominating portfolios returned by a method. Hypervolume measures the objective-space
mintou_p6_bilonsga_project_review,Applied Sciences,3.2. Benchmark Construction from Public Data,25,109,109,33,2,PASS,,"Because real utility investment-review records are institution-internal and unavailable for publication, we derive a candidate pool deterministically from three public sources (Table 1). The full derivation code is released; every rule belo"
mintou_p6_bilonsga_project_review,Applied Sciences,3.2. Benchmark Construction from Public Data,26,120,120,112,6,PASS,,"RTS-GMLC zone-level aggregates of load, branch ratings, permanent-outage rates, generator capacity, and renewable share generate three candidate archetypes per zone. Analytic functions map these aggregates to costs and benefits; for example"
mintou_p6_bilonsga_project_review,Applied Sciences,3.2. Benchmark Construction from Public Data,27,122,122,56,3,PASS,,"We emphasize what this construction is and is not. It is a *reproducible, public, engineering-plausible proxy* for the review problem -- every attribute traces to public grid statistics or public reliability-report metadata through publishe"
mintou_p6_bilonsga_project_review,Applied Sciences,3.3. Review Scenarios,28,126,126,34,2,PASS,,"Eight experiments exercise the pool along three axes -- budget envelope, pool composition, and dependency structure -- while the evaluation itself (objectives, hypervolume computation) is identical across experiments (Table 2). The nominal "
mintou_p6_bilonsga_project_review,Applied Sciences,3.3. Review Scenarios,29,128,128,14,2,PASS,,**Table 2.** The eight review scenarios. Pool filters restrict candidate kinds; the evaluation never changes.
mintou_p6_bilonsga_project_review,Applied Sciences,3.3. Review Scenarios,30,141,141,42,3,PASS,,"Five experiments use the full candidate pool at budget multipliers 0.75x, 0.88x, 1.00x, 1.00x, and 1.20x. Their labels also alter scalar weights used by some methods, and their random streams are independent. Section 6.2 therefore treats th"
mintou_p6_bilonsga_project_review,Applied Sciences,3.4. Shared Public Benchmark Statement,31,145,145,42,3,PASS,,"The Section 3.2 candidate pipeline is shared with TRACE-MOEA. Both studies also use the same public NERC corpus and MTEP16 source records for separately executed consistency checks. Problem objectives, method implementations, scenarios, run"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,32,151,151,67,5,PASS,,Figure 1 places two project-vocabulary moves between global offspring generation and dependency-aware feasibility recovery. Forward insertion spends useful slack. Atomic substitution removes one weak selection and evaluates one affordable r
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,33,155,155,22,3,PASS,,**Figure 1.** BiLo-NSGA architecture. The feedback arrow denotes the next generation. The lower strip identifies sensitivity and external-consistency analyses rather than optimization inputs.
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,34,157,157,42,2,PASS,,"BiLo-NSGA is a memetic multi-objective algorithm: a standard non-dominated sorting kernel provides global search and Pareto pressure, and project-vocabulary local moves provide budget-aware intensification and recorded decision events. Each"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,35,159,159,13,1,PASS,,"**Formal definitions.** Let \(x\in\{0,1\}^{n}\) and define remaining budget and violation as"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,36,166,166,13,1,PASS,,"With normalized minimized objectives, the acceptance scalar used *inside local search only* is"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,37,172,172,10,1,PASS,,"For an unselected affordable project, the dependency-aware insertion score is"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,38,179,179,7,1,PASS,,The forward proposal and acceptance rule are
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,39,191,191,8,1,REVISE,P1_STRONG_CLAIM_CHECK,"For atomic substitution, first select a removal candidate"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,40,198,198,7,1,PASS,,"The affordable replacement set excludes that project,"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,41,204,204,15,2,PASS,,"and $j^+=\operatorname*{arg\,max}_{j\in\mathcal A(x^-)}R_j^+(x^-)$. The pair is atomic:"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,42,213,213,31,2,PASS,,Otherwise both tentative edits are rolled back and the pass stops. Thus the proposed method never accepts a standalone backward deletion; that legacy rule is retained only as a named ablation.
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,43,215,215,22,2,PASS,,"Feasibility recovery applies the same deletion ranking without the improvement test until \(v_B(x)=0\). For local depths \(D_+\) and \(D_-\), a direct scan implementation costs"
mintou_p6_bilonsga_project_review,Applied Sciences,4. BiLo-NSGA,44,221,221,25,2,PASS,,"per selected offspring, in addition to objective evaluation. The current implementation uses \(D_+=8\), \(D_-=4\); this complexity expression does not imply that both directions produce equal empirical benefit."
mintou_p6_bilonsga_project_review,Applied Sciences,4.1. Non-Dominated Sorting Kernel,45,225,225,49,4,PASS,,The kernel is a binary NSGA-II with uniform crossover and bit-flip mutation at rate $1/n$. Constraint dominance ranks feasible solutions above infeasible ones and compares infeasible solutions by violation. Crowding distance truncates the p
mintou_p6_bilonsga_project_review,Applied Sciences,4.2. Forward Insertion,46,229,229,72,5,REVISE,P1_STRONG_CLAIM_CHECK,"After variation, half of the offspring undergo a forward pass of depth at most eight. While slack remains, the affordable unselected project with the highest equal-weight benefit-to-cost ratio is tentatively inserted. The insertion is retai"
mintou_p6_bilonsga_project_review,Applied Sciences,4.3. Atomic Backward--Forward Substitution,47,233,233,93,6,REVISE,P1_STRONG_CLAIM_CHECK,"The substitution pass has depth at most four. It removes the selected project with the lowest benefit-to-cost ratio only provisionally, uses the released budget to choose the highest-scoring affordable replacement, and evaluates the resulti"
mintou_p6_bilonsga_project_review,Applied Sciences,4.4. Dependency-Aware Move Bonus,48,237,237,50,1,REVISE,P1_LONG_SENTENCE,"When ranking insertion candidates, the benefit-to-cost score of any candidate whose dependency group already has a selected member is multiplied by 1.06. *Motivation:* grid projects arrive in synergistic programs (reinforcement plus automat"
mintou_p6_bilonsga_project_review,Applied Sciences,4.5. Feasibility Recovery,49,241,241,56,4,PASS,,Every initial or offspring portfolio that violates the budget is repaired deterministically. The selected project with the lowest benefit-to-cost ratio is removed until the portfolio is affordable. Because each step removes one selected pro
mintou_p6_bilonsga_project_review,Applied Sciences,4.6. Per-Move Decision Trace,50,245,245,72,5,PASS,,"Every accepted move--`forward_insert`, `backward_substitute`, and `repair_drop`--is logged with its generation and project identifier(s). A substitution record stores both the removed and inserted project. The trail is a pure output: no tra"
mintou_p6_bilonsga_project_review,Applied Sciences,5.1. Methods Compared,51,273,273,49,3,PASS,,"Table 3 lists the eighteen methods: BiLo-NSGA, seven baselines spanning evolutionary, Pareto-local-search, and MCDM families, and ten ablations. The evolutionary baselines are reference implementations from pymoo on the identical binary-enc"
mintou_p6_bilonsga_project_review,Applied Sciences,5.1. Methods Compared,52,298,298,38,1,PASS,,"Each ablation flips exactly one switch relative to the full method; the last two are stress variants that perturb the dependency structure and the search budget rather than removing an operator, and we read them as robustness probes."
mintou_p6_bilonsga_project_review,Applied Sciences,5.2. Protocol,53,302,302,79,6,PASS,,"The rectangular archive contains **18 methods x 8 experiments x 30 invocations = 4320 rows**. Fourteen opponents are stochastic. AHP-TOPSIS, Greedy BCR, and Ablation-WeightedRankingOnly are deterministic; their repeated identical invocation"
