paper,target_journal,section,paragraph_id,line_start,line_end,word_count,sentence_count,status,issue_codes,paragraph_preview
mintou_p2_hygraph_load_forecasting,Electronics,Cross-Series Attention Neural Forecasting for Day-Ahead Multi-Region Power Load Prediction,1,22,24,32,2,PASS,,"**Authors:** Jieyun Zheng (郑洁云), Linyao Zhang (张林垚), Zhanghuang Zhang (张章煌), Zhuolin Chen (陈卓琳), Ying Shi (施莹) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fuj"
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,28,28,156,7,PASS,,"Cross-correlated regional load series motivate graph and attention mechanisms, but single-run accuracy tables rarely isolate whether cross-series aggregation itself contributes. CSA-LoadNet combines a shared temporal encoder, cross-series a"
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,3,30,30,21,1,PASS,,**Keywords:** short-term load forecasting; day-ahead forecasting; multi-region load; cross-series attention; ablation study; statistical significance testing; negative results; open power system data
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,4,36,36,58,3,PASS,,"Day-ahead load forecasts inform unit commitment, cross-border exchange scheduling, reserve dimensioning, and distribution-level flexibility procurement. In multi-region forecasting, such as countries in an interconnection or profile classes"
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,5,38,38,39,2,PASS,,"Recent applied studies address this question with increasingly elaborate architectures. Graph convolutions, learned adjacency matrices, spatio-temporal attention stacks, and tensor decompositions have been combined with recurrent or transfo"
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,6,40,40,42,2,PASS,,"A parallel line of evidence cautions against equating architectural complexity with forecast accuracy. Linear models outperform several transformer variants on standard long-horizon benchmarks [5], statistical methods remain competitive in "
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,7,42,42,35,1,PASS,,"Between these two lines there is an unoccupied middle ground: apply the skeptics' statistical machinery not to whole models but to the *individual components* of a cross-series forecaster, and report whichever way the evidence falls."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,8,44,44,44,3,PASS,,CSA-LoadNet is a compact neural forecaster in which a shared encoder processes each region's load history and cross-series attention aggregates the other encodings. Attention weights can use Poincaré distance with fixed or learned curvature
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,9,46,46,59,3,PASS,,"The decision-relevant set contains the full model, five single-switch ablations, and the strongest external baseline. Each configuration is evaluated over ten seeds on OPSD country-level loads and SimBench distribution profiles, with Ausgri"
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,10,48,48,24,1,PASS,,"The evidence sorts cleanly into one positive claim, one negative claim, and three boundary results, and the paper presents all five with equal prominence:"
