paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p2_hygraph_load_forecasting,Electronics,Cross-Series Attention Neural Forecasting for Day-Ahead Multi-Region Power Load Prediction,1,1,22,31,PASS,,,"**Authors:** Jieyun Zheng (郑洁云), Linyao Zhang (张林垚), Zhanghuang Zhang (张章煌), Zhuolin Chen (陈卓琳), Ying Shi (施莹) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China **Correspondence:** zjy_0701@163.com (J."
mintou_p2_hygraph_load_forecasting,Electronics,Cross-Series Attention Neural Forecasting for Day-Ahead Multi-Region Power Load Prediction,1,2,22,1,PASS,,,Zheng)
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,3,28,20,PASS,,,"Cross-correlated regional load series motivate graph and attention mechanisms, but single-run accuracy tables rarely isolate whether cross-series aggregation itself contributes."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,4,28,18,PASS,,,"CSA-LoadNet combines a shared temporal encoder, cross-series attention, and a compact prediction head for day-ahead multi-region load forecasting."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,5,28,41,PASS,,,"Ten seeded runs under a leakage-free temporal protocol show that, on the six-country Open Power System Data benchmark, the full model improves 24-hour mean absolute percentage error over a multilayer perceptron (0.0323 versus 0.0337; Holm-adjusted p = 0.0085) and over the no-aggregation ablation (0.0323 versus 0.0346; p = 0.0011)."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,6,28,13,PASS,,,"No difference among Poincaré, Euclidean, and equal-weight parameterizations is resolved at the available precision."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,7,28,25,PASS,,,"We additionally rebuild Ausgrid as an exact 12-leaf, four-region, one-root hierarchy and evaluate independent, bottom-up, top-down, and OLS reconciliation with ten seeds for every method."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,8,28,20,PASS,,,"DLinear with bottom-up reconciliation is best (hierarchy-weighted sMAPE 0.2802); CSA-LoadNet with OLS reaches 0.2895, while both coherent methods have zero structural violation."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,2,9,28,19,PASS,,,"The results support a narrow day-ahead aggregation claim on OPSD, distinguish accuracy from coherence, and reject general architectural superiority."
mintou_p2_hygraph_load_forecasting,Electronics,Abstract,3,10,30,21,PASS,,,**Keywords:** short-term load forecasting; day-ahead forecasting; multi-region load; cross-series attention; ablation study; statistical significance testing; negative results; open power system data
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,4,11,36,15,PASS,,,"Day-ahead load forecasts inform unit commitment, cross-border exchange scheduling, reserve dimensioning, and distribution-level flexibility procurement."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,4,12,36,27,PASS,,,"In multi-region forecasting, such as countries in an interconnection or profile classes in a distribution network, the individual series share weather regimes, calendar structure, and economic rhythms."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,4,13,36,16,PASS,,,This raises a practical question: does cross-series information improve on forecasts constructed independently for each series?
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,5,14,38,10,PASS,,,Recent applied studies address this question with increasingly elaborate architectures.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,5,15,38,29,PASS,,,"Graph convolutions, learned adjacency matrices, spatio-temporal attention stacks, and tensor decompositions have been combined with recurrent or transformer backbones, commonly with the complete architecture leading the reported accuracy table [1–4]."
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,6,16,40,13,PASS,,,A parallel line of evidence cautions against equating architectural complexity with forecast accuracy.
mintou_p2_hygraph_load_forecasting,Electronics,1. Introduction,6,17,40,29,PASS,,,"Linear models outperform several transformer variants on standard long-horizon benchmarks [5], statistical methods remain competitive in the M-competitions [6,7], and methodological audits show that some reported gains shrink under stricter protocols [8]."
