paper,target_journal,section,paragraph_id,sentence_id,line_start,word_count,status,issue_codes,suggestion_zh,sentence
mintou_p6_bilonsga_project_review,Applied Sciences,BiLo-NSGA: Forward-Dominant Project-Level Local Search for Budget-Constrained Power Grid Portfolio Review,1,1,14,31,PASS,,,"**Authors:** Yubin Lin (林宇彬), Jingbo Zhang (张劲波), Xiaoyu Huang (黄晓予), Dishan Yang (杨迪珊), Jiyu Li (李继宇) **Affiliations:** Economic and Technological Research Institute of State Grid Fujian Electric Power Co., Ltd., Fuzhou 350000, Fujian, China **Correspondence:** 18606932711@163.com (Y."
mintou_p6_bilonsga_project_review,Applied Sciences,BiLo-NSGA: Forward-Dominant Project-Level Local Search for Budget-Constrained Power Grid Portfolio Review,1,2,14,1,PASS,,,Lin)
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,3,20,30,PASS,,,"Utility review boards must select grid investment portfolios under hard annual budgets, yet independent project scores ignore portfolio interactions and generic evolutionary operators do not express changes in review terms."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,4,20,19,PASS,,,"BiLo-NSGA embeds forward insertion, atomic delete--insert substitution, dependency-aware bonuses, and feasibility recovery within non-dominated sorting while recording accepted moves."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,5,20,20,PASS,,,"On a reproducible benchmark with 120 candidates, eight scenarios, and 30 seeds per stochastic method, BiLo-NSGA attains pooled mean hypervolume 0.17190, 1.12% above NSGA-II."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,6,20,28,PASS,,,"Across five stochastic baselines, it has 37 positive mean differences in 40 comparisons, 36 Holm-significant wins, and no significant loss; 16 gaps against two deterministic scoring rules are descriptive and favor BiLo-NSGA."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,7,20,12,PASS,,,A 1600-neighbor Pareto local-search control is significantly lower in all eight scenarios.
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,8,20,32,PASS,,,"Component evidence is asymmetric: removing forward insertion is harmful in three scenarios under the primary family, although the ablation has the higher pooled mean, whereas atomic substitution and standalone deletion are unresolved."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,9,20,8,PASS,,,Public reliability and MTEP16 backtests provide descriptive external consistency.
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,2,10,20,18,PASS,,,"The evidence supports project-level local search with resolved forward-side effects, not a general gain from bidirectionality or substitution."
mintou_p6_bilonsga_project_review,Applied Sciences,Abstract,3,11,22,18,PASS,,,**Keywords:** power grid investment planning; project portfolio selection; budget constraint; multi-objective evolutionary optimization; NSGA-II; local search; decision traceability
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,4,12,28,16,PASS,,,"Power systems face substantial capital requirements from renewable integration, storage deployment, feeder automation, and reinforcement backlogs."
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,4,13,28,14,PASS,,,NERC reliability reports document the consequences associated with delayed investment in specific asset classes.
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,4,14,28,23,PASS,,,"Utilities must choose among reinforcements, automation retrofits, storage, and renewable-support projects spanning many zones and feeders, while annual budgets fund only a subset."
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,4,15,28,25,PASS,,,"Project review therefore becomes a recurring selection problem with a hard budget, conflicting objectives (cost, reliability benefit, renewable accommodation, and execution risk), and inter-project dependencies."
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,5,16,30,8,PASS,,,Current review practice balances traceability against portfolio interaction.
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,5,17,30,20,PASS,,,"AHP/TOPSIS-style scoring exposes each ranking step but evaluates projects independently, omitting budget crowding-out, dependency synergies, and conditional marginal value."
mintou_p6_bilonsga_project_review,Applied Sciences,1. Introduction,5,18,30,19,PASS,,,"Multi-objective evolutionary algorithms (MOEAs) search portfolios directly, but generic bit-level variation and unrecorded search trajectories provide limited decision-level provenance."
