review_order,blind_item_id,dataset,question,gold_sql,query_class_proposed,difficulty_proposed,referenced_tables,result_columns,result_row_count,result_preview,decision,semantic_alignment,question_unambiguous,units_correct,sql_correct,answer_useful,query_class_reviewed,difficulty_reviewed,issue_codes,proposed_question,proposed_sql,confidence_1_to_5,reviewer_qualification,reviewer_signature,completed_at_utc,reviewer_notes
1,MAHR-43673D7B3F0E,RTS-GMLC,"Return the five renewable generators with the highest available MW at 2020-01-01 03:00:00, including their fuel labels.","SELECT r.generator_uid, g.fuel, r.available_mw FROM renewable_availability_da r JOIN generators g ON r.generator_uid = g.generator_uid WHERE r.timestamp = '2020-01-01 03:00:00' ORDER BY r.available_mw DESC, r.generator_uid LIMIT 5",top_k,medium,renewable_availability_da|generators,generator_uid|fuel|available_mw,5,"[[""317_WIND_1"",""Wind"",767.3],[""122_WIND_1"",""Wind"",710.7],[""303_WIND_1"",""Wind"",432.7],[""309_WIND_1"",""Wind"",144.8],[""101_PV_1"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
2,MAHR-DEFDB71034F3,RTS-GMLC,"Return the top 3 generators by non-fuel start cost, excluding missing values.","SELECT g.generator_uid, g.fuel, c.nonfuel_start_cost_usd FROM generator_costs c JOIN generators g ON c.generator_uid = g.generator_uid WHERE c.nonfuel_start_cost_usd IS NOT NULL ORDER BY c.nonfuel_start_cost_usd DESC, g.generator_uid LIMIT 3",top_k,medium,generator_costs|generators,generator_uid|fuel|nonfuel_start_cost_usd,3,"[[""212_CSP_1"",""Solar"",10000.0],[""101_CT_1"",""Oil"",0.0],[""101_CT_2"",""Oil"",0.0]]",,,,,,,,,,,,,,,,
3,MAHR-4E274BA60528,RTS-GMLC,Return the top 3 generators by maximum MW capacity.,"SELECT g.generator_uid, g.fuel, c.pmax_mw FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid ORDER BY c.pmax_mw DESC, g.generator_uid LIMIT 3",top_k,easy,generators|generator_constraints,generator_uid|fuel|pmax_mw,3,"[[""303_WIND_1"",""Wind"",847.0],[""317_WIND_1"",""Wind"",799.1],[""122_WIND_1"",""Wind"",713.5]]",,,,,,,,,,,,,,,,
4,MAHR-4455352D3000,RTS-GMLC,Which generators produced positive output at 2020-07-05 03:00:00 in the all-transmission day-ahead solution?,"SELECT generator_uid, generation_mw FROM dispatch_da WHERE timestamp = '2020-07-05 03:00:00' AND transmission_scenario = 'allTX' AND generation_mw > 0 ORDER BY generation_mw DESC, generator_uid",filter,medium,dispatch_da,generator_uid|generation_mw,48,"[[""121_NUCLEAR_1"",400.0],[""123_STEAM_3"",280.0],[""313_CC_1"",231.7],[""223_STEAM_3"",210.0],[""107_CC_1"",170.0]]",,,,,,,,,,,,,,,,
5,MAHR-2D833A901CE2,SimBench,Count loads by the nominal voltage of their connected bus.,"SELECT b.nominal_kv, COUNT(*) AS load_count FROM loads l JOIN buses b ON b.bus_id = l.bus_id GROUP BY b.nominal_kv ORDER BY b.nominal_kv DESC",join,medium,buses|loads,nominal_kv|load_count,1,"[[10.0,139]]",,,,,,,,,,,,,,,,
6,MAHR-833DF568006D,RTS-GMLC,What was the maximum day-ahead spinning reserve requirement for each product on 2020-01-01?,"SELECT reserve_product, ROUND(MAX(requirement_mw), 3) AS maximum_requirement_mw FROM reserve_requirements_da WHERE timestamp >= '2020-01-01 00:00:00' AND timestamp < datetime('2020-01-01 00:00:00', '+1 day') GROUP BY reserve_product ORDER BY reserve_product",aggregate,medium,reserve_requirements_da,reserve_product|maximum_requirement_mw,3,"[[""Spin_Up_R1"",40.413],[""Spin_Up_R2"",42.851],[""Spin_Up_R3"",56.666]]",,,,,,,,,,,,,,,,
7,MAHR-12E7653E773F,RTS-GMLC,List the generator identifiers and unit types for Oil-fueled units.,"SELECT generator_uid, unit_type FROM generators WHERE fuel = 'Oil' ORDER BY generator_uid",filter,easy,generators,generator_uid|unit_type,19,"[[""101_CT_1"",""CT""],[""101_CT_2"",""CT""],[""102_CT_1"",""CT""],[""102_CT_2"",""CT""],[""115_STEAM_1"",""STEAM""]]",,,,,,,,,,,,,,,,
8,MAHR-EF47C58CCC0C,SimBench,How many distributed generators are recorded?,SELECT COUNT(*) AS generator_count FROM generators,single_table,easy,generators,generator_count,1,[[134]],,,,,,,,,,,,,,,,
9,MAHR-29D559EA9DED,SimBench,Which five loads have the highest maximum active power?,"SELECT load_id, name, maximum_active_power_mw FROM loads ORDER BY maximum_active_power_mw DESC, load_id LIMIT 5",top_k,medium,loads,load_id|name|maximum_active_power_mw,5,"[[0,""HV1_MV3.101_load"",null],[1,""MV3.101 Load 2"",null],[2,""MV3.101 Load 3"",null],[3,""MV3.101 Load 4"",null],[4,""MV3.101 Load 5"",null]]",,,,,,,,,,,,,,,,
10,MAHR-6FDEC35D71A0,RTS-GMLC,"Return the top 15 generators by non-fuel start cost, excluding missing values.","SELECT g.generator_uid, g.fuel, c.nonfuel_start_cost_usd FROM generator_costs c JOIN generators g ON c.generator_uid = g.generator_uid WHERE c.nonfuel_start_cost_usd IS NOT NULL ORDER BY c.nonfuel_start_cost_usd DESC, g.generator_uid LIMIT 15",top_k,medium,generator_costs|generators,generator_uid|fuel|nonfuel_start_cost_usd,15,"[[""212_CSP_1"",""Solar"",10000.0],[""101_CT_1"",""Oil"",0.0],[""101_CT_2"",""Oil"",0.0],[""101_PV_1"",""Solar"",0.0],[""101_PV_2"",""Solar"",0.0]]",,,,,,,,,,,,,,,,
11,MAHR-9DD1774C495D,RTS-GMLC,Which generators produced positive output at 2020-07-05 01:00:00 in the all-transmission day-ahead solution?,"SELECT generator_uid, generation_mw FROM dispatch_da WHERE timestamp = '2020-07-05 01:00:00' AND transmission_scenario = 'allTX' AND generation_mw > 0 ORDER BY generation_mw DESC, generator_uid",filter,medium,dispatch_da,generator_uid|generation_mw,49,"[[""121_NUCLEAR_1"",400.0],[""123_STEAM_3"",280.0],[""303_WIND_1"",256.6],[""313_CC_1"",231.7],[""223_STEAM_3"",210.0]]",,,,,,,,,,,,,,,,
12,MAHR-A7DED63766D7,SimBench,List all normally open switches.,"SELECT switch_id, name, element_type FROM switches WHERE closed = 0 ORDER BY switch_id",filter,easy,switches,switch_id|name|element_type,15,"[[7,""CB MV3.101 Busbar4"",""b""],[8,""CB MV3.101 Busbar5"",""b""],[9,""CB MV3.101 Base Station1"",""b""],[10,""CB MV3.101 Base Station2"",""b""],[278,""MV3.101 loop_line_switch 1.2"",""l""]]",,,,,,,,,,,,,,,,
13,MAHR-DD008823EEF8,RTS-GMLC,"For 2020-07-08, summarize total day-ahead generation by fuel.","SELECT g.fuel, ROUND(SUM(d.generation_mw), 2) AS total_generation_mwh FROM dispatch_da d JOIN generators g ON d.generator_uid = g.generator_uid WHERE d.timestamp >= '2020-07-08 00:00:00' AND d.timestamp < datetime('2020-07-08 00:00:00', '+1 day') GROUP BY g.fuel ORDER BY total_generation_mwh DESC, g.fuel",join,hard,dispatch_da|generators,fuel|total_generation_mwh,8,"[[""Coal"",35174.71],[""NG"",24235.56],[""Solar"",18378.19],[""Wind"",16199.61],[""Hydro"",16027.0]]",,,,,,,,,,,,,,,,
14,MAHR-DACECC812782,RTS-GMLC,Which generators require at least 2 hours of minimum up time?,"SELECT g.generator_uid, g.unit_type, c.min_up_time_hr FROM generators g JOIN generator_constraints c ON g.generator_uid = c.generator_uid WHERE c.min_up_time_hr >= 2 ORDER BY c.min_up_time_hr DESC, g.generator_uid",join,medium,generators|generator_constraints,generator_uid|unit_type|min_up_time_hr,61,"[[""121_NUCLEAR_1"",""NUCLEAR"",24.0],[""123_STEAM_3"",""STEAM"",24.0],[""223_STEAM_3"",""STEAM"",24.0],[""101_STEAM_3"",""STEAM"",8.0],[""101_STEAM_4"",""STEAM"",8.0]]",,,,,,,,,,,,,,,,
