blind_item_id,dataset,source_question_id,reviewer_a_decision,reviewer_b_decision,conflict_fields,adjudicator_decision,final_question,final_sql,change_reason,reexecution_result_sha256,adjudicator_qualification,adjudicator_signature,completed_at_utc
MAHR-78F385AE89C2,RTS-GMLC,RTS_AUTO_001,,,,,,,,,,,
MAHR-76CB188872BC,RTS-GMLC,RTS_AUTO_002,,,,,,,,,,,
MAHR-70326194ED60,RTS-GMLC,RTS_AUTO_003,,,,,,,,,,,
MAHR-D5AC1B52322A,RTS-GMLC,RTS_AUTO_004,,,,,,,,,,,
MAHR-E394ECCC7721,RTS-GMLC,RTS_AUTO_005,,,,,,,,,,,
MAHR-6D8E9F4BD513,RTS-GMLC,RTS_AUTO_006,,,,,,,,,,,
MAHR-12E7653E773F,RTS-GMLC,RTS_AUTO_007,,,,,,,,,,,
MAHR-8A5294BE1074,RTS-GMLC,RTS_AUTO_008,,,,,,,,,,,
MAHR-C8E186EEE250,RTS-GMLC,RTS_AUTO_009,,,,,,,,,,,
MAHR-46955DA6D70E,RTS-GMLC,RTS_AUTO_010,,,,,,,,,,,
MAHR-51243B941685,RTS-GMLC,RTS_AUTO_011,,,,,,,,,,,
MAHR-DACECC812782,RTS-GMLC,RTS_AUTO_012,,,,,,,,,,,
MAHR-FDDF93AA45E0,RTS-GMLC,RTS_AUTO_013,,,,,,,,,,,
MAHR-20B8E1558F8E,RTS-GMLC,RTS_AUTO_014,,,,,,,,,,,
MAHR-17AF7869B310,RTS-GMLC,RTS_AUTO_015,,,,,,,,,,,
MAHR-7D43A81C5045,RTS-GMLC,RTS_AUTO_016,,,,,,,,,,,
MAHR-029886672ADD,RTS-GMLC,RTS_AUTO_017,,,,,,,,,,,
MAHR-C6F760AFEF1B,RTS-GMLC,RTS_AUTO_018,,,,,,,,,,,
MAHR-C8ACA6A27C26,RTS-GMLC,RTS_AUTO_019,,,,,,,,,,,
MAHR-B8B7691A2F9C,RTS-GMLC,RTS_AUTO_020,,,,,,,,,,,
MAHR-2D79C481E4A0,RTS-GMLC,RTS_AUTO_021,,,,,,,,,,,
MAHR-4E274BA60528,RTS-GMLC,RTS_AUTO_022,,,,,,,,,,,
MAHR-1699105B9733,RTS-GMLC,RTS_AUTO_023,,,,,,,,,,,
MAHR-D0C700FD14C0,RTS-GMLC,RTS_AUTO_024,,,,,,,,,,,
MAHR-2CCB5A994BE8,RTS-GMLC,RTS_AUTO_025,,,,,,,,,,,
MAHR-B9FD2BC8E117,RTS-GMLC,RTS_AUTO_026,,,,,,,,,,,
MAHR-9DD1774C495D,RTS-GMLC,RTS_AUTO_027,,,,,,,,,,,
MAHR-E071C85EAC9B,RTS-GMLC,RTS_AUTO_028,,,,,,,,,,,
MAHR-4455352D3000,RTS-GMLC,RTS_AUTO_029,,,,,,,,,,,
MAHR-8D3CDDDD572C,RTS-GMLC,RTS_AUTO_030,,,,,,,,,,,
MAHR-22391193F11C,RTS-GMLC,RTS_AUTO_031,,,,,,,,,,,
MAHR-8B354A4EB53D,RTS-GMLC,RTS_AUTO_032,,,,,,,,,,,
MAHR-61F5990B8E0F,RTS-GMLC,RTS_AUTO_033,,,,,,,,,,,
MAHR-DD008823EEF8,RTS-GMLC,RTS_AUTO_034,,,,,,,,,,,
MAHR-316242C04BA8,RTS-GMLC,RTS_AUTO_035,,,,,,,,,,,
MAHR-5338AF4DEEF7,RTS-GMLC,RTS_AUTO_036,,,,,,,,,,,
MAHR-A405AFD1DF07,RTS-GMLC,RTS_AUTO_037,,,,,,,,,,,
MAHR-9930DA539DF1,RTS-GMLC,RTS_AUTO_038,,,,,,,,,,,
MAHR-2B934D057480,RTS-GMLC,RTS_AUTO_039,,,,,,,,,,,
MAHR-A776D06E08F0,RTS-GMLC,RTS_AUTO_040,,,,,,,,,,,
MAHR-56BA8DEC4C62,RTS-GMLC,RTS_AUTO_041,,,,,,,,,,,
MAHR-ED5CE17C8C85,RTS-GMLC,RTS_AUTO_042,,,,,,,,,,,
MAHR-C79C4D3E4B12,RTS-GMLC,RTS_AUTO_043,,,,,,,,,,,
MAHR-43673D7B3F0E,RTS-GMLC,RTS_AUTO_044,,,,,,,,,,,
MAHR-A6D919F1A62F,RTS-GMLC,RTS_AUTO_045,,,,,,,,,,,
MAHR-833DF568006D,RTS-GMLC,RTS_AUTO_046,,,,,,,,,,,
MAHR-507821C0492E,RTS-GMLC,RTS_AUTO_047,,,,,,,,,,,
MAHR-2368E0A627B0,RTS-GMLC,RTS_AUTO_048,,,,,,,,,,,
MAHR-AD5895B02382,RTS-GMLC,RTS_AUTO_049,,,,,,,,,,,
MAHR-BEABE967F459,RTS-GMLC,RTS_AUTO_050,,,,,,,,,,,
MAHR-EFF5ABC70C26,RTS-GMLC,RTS_AUTO_051,,,,,,,,,,,
MAHR-DEFDB71034F3,RTS-GMLC,RTS_AUTO_052,,,,,,,,,,,
MAHR-6CB42A03F201,RTS-GMLC,RTS_AUTO_053,,,,,,,,,,,
MAHR-72BAFBEB1CD5,RTS-GMLC,RTS_AUTO_054,,,,,,,,,,,
MAHR-6FDEC35D71A0,RTS-GMLC,RTS_AUTO_055,,,,,,,,,,,
MAHR-37E368E1A6F2,SimBench,SB-AUTO-001,,,,,,,,,,,
MAHR-465B09C7D090,SimBench,SB-AUTO-002,,,,,,,,,,,
MAHR-710D0CFEEBAE,SimBench,SB-AUTO-003,,,,,,,,,,,
MAHR-F0D17BA4A4F9,SimBench,SB-AUTO-004,,,,,,,,,,,
MAHR-EF47C58CCC0C,SimBench,SB-AUTO-005,,,,,,,,,,,
MAHR-8BCB8B72B637,SimBench,SB-AUTO-006,,,,,,,,,,,
MAHR-50D2516FE708,SimBench,SB-AUTO-007,,,,,,,,,,,
MAHR-31E5621EC23F,SimBench,SB-AUTO-008,,,,,,,,,,,
MAHR-26AEECD5281D,SimBench,SB-AUTO-009,,,,,,,,,,,
MAHR-67C2361239BD,SimBench,SB-AUTO-010,,,,,,,,,,,
MAHR-A7DED63766D7,SimBench,SB-AUTO-011,,,,,,,,,,,
MAHR-918C3D145C54,SimBench,SB-AUTO-012,,,,,,,,,,,
MAHR-2CB5C286A9AE,SimBench,SB-AUTO-013,,,,,,,,,,,
MAHR-B3DB44D5E2DB,SimBench,SB-AUTO-014,,,,,,,,,,,
MAHR-B9BBE1CE2191,SimBench,SB-AUTO-015,,,,,,,,,,,
MAHR-3259C71FC6D9,SimBench,SB-AUTO-016,,,,,,,,,,,
MAHR-61FDEAB1819D,SimBench,SB-AUTO-017,,,,,,,,,,,
MAHR-85675B4773A8,SimBench,SB-AUTO-018,,,,,,,,,,,
MAHR-E7AAD2BD64EF,SimBench,SB-AUTO-019,,,,,,,,,,,
MAHR-202467C28738,SimBench,SB-AUTO-020,,,,,,,,,,,
MAHR-638BE375AF10,SimBench,SB-AUTO-021,,,,,,,,,,,
MAHR-EDF27D69C63B,SimBench,SB-AUTO-022,,,,,,,,,,,
MAHR-2D833A901CE2,SimBench,SB-AUTO-023,,,,,,,,,,,
MAHR-AD72111CC98C,SimBench,SB-AUTO-024,,,,,,,,,,,
MAHR-29D559EA9DED,SimBench,SB-AUTO-025,,,,,,,,,,,
MAHR-C1D5320FBEC0,SimBench,SB-AUTO-026,,,,,,,,,,,
MAHR-6CCF4086593B,SimBench,SB-AUTO-027,,,,,,,,,,,
MAHR-AC35D8DC7762,SimBench,SB-AUTO-028,,,,,,,,,,,
MAHR-5D7652D6F7B5,SimBench,SB-AUTO-029,,,,,,,,,,,
MAHR-5555815B1EBA,SimBench,SB-AUTO-030,,,,,,,,,,,
MAHR-86E4C1AF4F0A,SimBench,SB-AUTO-031,,,,,,,,,,,
MAHR-10F2323675BD,SimBench,SB-AUTO-032,,,,,,,,,,,
MAHR-1D1840E3C24D,SimBench,SB-AUTO-033,,,,,,,,,,,
MAHR-2CC4695A3971,SimBench,SB-AUTO-034,,,,,,,,,,,
MAHR-84AA421485B6,SimBench,SB-AUTO-035,,,,,,,,,,,
MAHR-AA4BFF1AD3C2,SimBench,SB-AUTO-036,,,,,,,,,,,
