table,table_description,column,sqlite_type,not_null,primary_key_position,default,source,transformation_or_unit_note
branches,"AC branch topology, impedance, ratings, and outage attributes.",branch_uid,TEXT,False,1,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",from_bus_id,INTEGER,True,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",to_bus_id,INTEGER,True,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",resistance_pu,REAL,True,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",reactance_pu,REAL,True,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",susceptance_pu,REAL,True,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",continuous_rating_mva,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",long_term_emergency_rating_mva,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",short_term_emergency_rating_mva,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",permanent_outage_rate,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",outage_duration_hr,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
branches,"AC branch topology, impedance, ratings, and outage attributes.",transformer_ratio,REAL,False,0,,RTS_Data/SourceData/branch.csv,Directly renamed/cast from the documented source table; consult original RTS-GMLC headers for units.
