subnet,load_mw,qload_mvar,load_count,res_mw,line_length_km,line_count,avg_loading_max
EHV1,71132.93309000002,23380.260000000028,386,10844.9,32425.761999999999,849,100
HV1,105,41.509999999999998,43,1077.2399999999996,1083.564707,95,100
HV2,106,41.879999999999974,66,309.94,751.60326499999974,113,100
LV3.101,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.102,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.103,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.104,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.105,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.106,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.107,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.201,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.202,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.203,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.204,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.205,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.206,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.207,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
LV3.208,0.33100000000000024,0.13080700000000006,118,0.19037000000000001,2.3516540299999997,127,100
