timestamp,load_mw,wind_mw,solar_mw,renewable_share,curtailment_risk_target,source_status
1/1/24 0:00,9852.63825458,117.68518866,0.00000000,0.01194454,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 10:00,10276.70257001,147.33729225,1609.38784134,0.17094249,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 11:00,10526.82043051,143.61213498,1820.21226274,0.18655437,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 12:00,10633.91191108,140.98044227,1964.50238135,0.19799702,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 13:00,10625.93991123,145.09164978,2047.29709039,0.20632422,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 14:00,10607.37587196,155.40546025,1831.33906197,0.18729840,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 15:00,10649.36116949,169.63349461,1458.87026712,0.15292032,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 16:00,10691.58827885,185.48737379,1144.56956267,0.12440218,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 17:00,11517.00600185,200.67871873,465.37245215,0.05783197,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 18:00,13058.66166809,212.91915038,0.00000000,0.01630482,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 19:00,13092.71805537,220.31440357,0.00000000,0.01682725,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 1:00,9087.57656939,125.07871039,0.00000000,0.01376370,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 20:00,12913.95053221,223.29400029,0.00000000,0.01729091,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 21:00,12626.36445886,224.91685623,0.00000000,0.01781327,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 22:00,11921.29776200,226.14528822,0.00000000,0.01896985,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 23:00,10719.35970546,228.26506990,0.00000000,0.02129466,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 2:00,8603.84233962,131.08455092,0.00000000,0.01523558,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 3:00,8334.79030693,135.82069464,0.00000000,0.01629563,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 4:00,8199.48308521,140.37939629,0.00000000,0.01712052,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 5:00,8291.11763436,144.69811738,0.00000000,0.01745218,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
1/1/24 6:00,8596.18757819,147.95171240,0.00000000,0.01721132,0.00000000,public_nrel118_transportability_v1_frozen_070_cap
