paper_id,title,year,venue,dataset_id,pdf_path,source_url,tags
ext_nasa_pcoe_battery_1,Prognosis of Li-ion Batteries Under Large Load Variations Using Hybrid Physics-Informed Neural Networks,2023,PHM Society,nasa_pcoe_battery,papers/literature/dataset_benchmark_papers/pdfs/nasa_pcoe_battery/nasa_pcoe_battery__Prognosis_of_Li-ion_Batteries_Under_Large_Load_Variations_Using_Hybrid_Physics-I__c469257c42.pdf,https://arxiv.org/pdf/2309.01838,dataset_benchmark;ccf_conference_candidate;curated
ext_oxford_battery_degradation_2,Gaussian process regression for forecasting battery state of health,2024,arXiv battery health,oxford_battery_degradation,papers/literature/dataset_benchmark_papers/pdfs/oxford_battery_degradation/oxford_battery_degradation__Gaussian_process_regression_for_forecasting_battery_state_of_health__a14b533ef8.pdf,https://arxiv.org/pdf/2401.09088,dataset_benchmark;sci_journal_candidate;curated
ext_sdwpf_kddcup2022_3,BUAA_BIGSCity: Spatial-Temporal Graph Neural Network for Wind Power Forecasting in Baidu KDD CUP 2022,2023,arXiv,sdwpf_kddcup2022,papers/literature/dataset_benchmark_papers/pdfs/sdwpf_kddcup2022/sdwpf_kddcup2022__BUAA_BIGSCity_Spatial-Temporal_Graph_Neural_Network_for_Wind_Power_Forecasting_i__0e58f0e0db.pdf,https://arxiv.org/pdf/2302.11159,dataset_benchmark;ccf_conference_candidate;curated
ext_pglearn_small_4,PGLearn -- An Open-Source Learning Toolkit for Optimal Power Flow,2025,arXiv,pglearn_small,papers/literature/dataset_benchmark_papers/pdfs/pglearn_small/pglearn_small__PGLearn_--_An_Open-Source_Learning_Toolkit_for_Optimal_Power_Flow__efcb0e53a2.pdf,https://arxiv.org/pdf/2505.22825,dataset_benchmark;conference_other_verify;curated
ext_opfdata_landing_5,OPFData: Large-scale datasets for AC optimal power flow with topological perturbations,2024,arXiv,opfdata_landing,papers/literature/dataset_benchmark_papers/pdfs/opfdata_landing/opfdata_landing__OPFData_Large-scale_datasets_for_AC_optimal_power_flow_with_topological_perturba__a1dad65416.pdf,https://arxiv.org/pdf/2406.07234,dataset_benchmark;conference_other_verify;curated
ext_pglib_opf_6,Scalable Heterogeneous Graph Foundation Models for Data-Driven Optimal Power Flow in Smart Grids,2026,arXiv,pglib_opf,papers/literature/dataset_benchmark_papers/pdfs/pglib_opf/pglib_opf__Scalable_Heterogeneous_Graph_Foundation_Models_for_Data-Driven_Optimal_Power_Flo__9186af96c8.pdf,https://arxiv.org/pdf/2605.23194,dataset_benchmark;conference_other_verify;curated
ext_grid2op_datasets_7,Power Grid Control with Graph-Based Distributed Reinforcement Learning,2025,arXiv,grid2op_datasets,papers/literature/dataset_benchmark_papers/pdfs/grid2op_datasets/grid2op_datasets__Power_Grid_Control_with_Graph-Based_Distributed_Reinforcement_Learning__ae73e0489a.pdf,https://arxiv.org/pdf/2509.02861,dataset_benchmark;conference_other_verify;curated
ext_grid2op_datasets_8,Optimizing Power Grid Topologies with Reinforcement Learning: A Survey of Methods and Challenges,2025,arXiv,grid2op_datasets,papers/literature/dataset_benchmark_papers/pdfs/grid2op_datasets/grid2op_datasets__Optimizing_Power_Grid_Topologies_with_Reinforcement_Learning_A_Survey_of_Methods__309047e625.pdf,https://arxiv.org/pdf/2504.08210,dataset_benchmark;conference_other_verify;curated
ext_opsd_time_series_9,Review of machine learning techniques for optimal power flow / open data context,2024,arXiv,opsd_time_series,papers/literature/dataset_benchmark_papers/pdfs/opsd_time_series/opsd_time_series__Review_of_machine_learning_techniques_for_optimal_power_flow_open_data_context__e7e41d2ea5.pdf,https://arxiv.org/pdf/2401.01325,dataset_benchmark;sci_journal_candidate;curated
ext_acn_data_static_10,ACN-Data: Analysis and Applications of an Open EV Charging Dataset,2019,e-Energy 2019 preprint,acn_data_static,papers/literature/dataset_benchmark_papers/pdfs/acn_data_static/acn_data_static__ACN-Data_Analysis_and_Applications_of_an_Open_EV_Charging_Dataset__4b4e0dd444.pdf,https://arxiv.org/pdf/1901.08085,dataset_benchmark;ccf_conference_candidate;curated
ext_m5bat_bess_11,Robust market-based BESS management in European balancing markets (dataset companion),2024,Journal of Energy Storage OA attempt,m5bat_bess,papers/literature/dataset_benchmark_papers/pdfs/m5bat_bess/m5bat_bess__Robust_market-based_BESS_management_in_European_balancing_markets_dataset_compan__d37692e7f4.pdf,https://arxiv.org/pdf/2409.01234,dataset_benchmark;sci_journal_candidate;curated
