doc_id,source_url,local_pdf,pdf_sha256,access_date,rights_holder,license_or_terms_locator,local_computational_use_status,pdf_redistribution_status,verbatim_text_redistribution_status,reviewer_access_status
nerc_001_november_13_wyoming_disturbance_report,https://www.nerc.com/globalassets/our-work/reports/event-reports/november-13-wyoming-disturbance_report_final.pdf,raw_pdfs/nerc_001_november_13_wyoming_disturbance_report.pdf,3D4A0C2DB1AD022EF4DC62F8498635FF5F5D8369A02D39DD2A313B9E864652D6,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_002_inverter_based_resource_disturbances_in_th,https://www.nerc.com/globalassets/our-work/reports/event-reports/ibr_disturbances_wi_20251105.pdf,raw_pdfs/nerc_002_inverter_based_resource_disturbances_in_th.pdf,FF02D67B0B9C1D21EEA6ABC8DB23C9FADDD647DB652668A85E26928B8A3CFD5D,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_003_january_2025_arctic_events_a_system_perfor,https://www.nerc.com/globalassets/programs/event-analysis/25_arctic_storms_performance_review_0416.pdf,raw_pdfs/nerc_003_january_2025_arctic_events_a_system_perfor.pdf,428CE107382EE2D3A18A1E71650C417A220AA9232DDDBA3328B60AE258C04743,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_004_march_april_2022_california_battery_energy,https://www.nerc.com/globalassets/who-we-are/standing-committees/rstc/nerc_bess_disturbance_report_2023.pdf,raw_pdfs/nerc_004_march_april_2022_california_battery_energy.pdf,0873FC5F130FBD09153F50ED0EDAC9DF8CB92083BB9EED4FEED6ADA2C5318BE1,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_005_nerc_2023_southwest_ut_disturbance_report,https://www.nerc.com/globalassets/our-work/reports/event-reports/nerc_2023_southwest_ut_disturbance_report.pdf,raw_pdfs/nerc_005_nerc_2023_southwest_ut_disturbance_report.pdf,D3917E5BD0A06388472F370D59E5BFC31DE1AE98E156A769676D9416F6AC3A8F,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_006_june_2022_odessa_disturbance_report,https://www.nerc.com/globalassets/our-work/white-papers/nerc_2022_odessa_disturbance_report-1.pdf,raw_pdfs/nerc_006_june_2022_odessa_disturbance_report.pdf,0853054CD950FA84AA0D8E33A30E523DF1AAC92E5A545CD1B6DA478FD5216710,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_007_panhandle_wind_disturbance_report,https://www.nerc.com/globalassets/our-work/reports/event-reports/panhandle_wind_disturbance_report.pdf,raw_pdfs/nerc_007_panhandle_wind_disturbance_report.pdf,7F7AE416A720C2EB4F6D46398DDF9DFB5E2B0D4A172BB653B89B0F4973B7A7C6,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_008_nerc_2021_california_solar_pv_disturbances,https://www.nerc.com/globalassets/our-work/reports/event-reports/nerc_2021_california_solar_pv_disturbances_report.pdf,raw_pdfs/nerc_008_nerc_2021_california_solar_pv_disturbances.pdf,79CB46BA80F397028D594448C8AAD58F9B9C1604B05F66F85015DD87EF03D83B,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_009_odessa_disturbance_report,https://www.nerc.com/globalassets/our-work/reports/event-reports/odessa_disturbance_report.pdf,raw_pdfs/nerc_009_odessa_disturbance_report.pdf,074D9A538FD2E86D0EBCA6056E98069C7D7E2D07379CFC0E72DDB6199A23EC9A,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
nerc_010_february_2021_cold_weather_report,https://www.nerc.com/globalassets/our-work/reports/event-reports/february_2021_cold_weather_report.pdf,raw_pdfs/nerc_010_february_2021_cold_weather_report.pdf,FDE426B557CB57AAB4B3C8318363FF4D018015A7E2B3457B9245E85CC80C9D76,not_recorded_in_source_manifest,not_verified,not_recorded_in_source_manifest,performed_for_research; legal determination pending responsible human/institution,not_authorized_pending_human_rights_review,not_authorized_pending_human_rights_review,by_corresponding_author_subject_to_third_party_terms
