method,description,quality_prior,role,runtime_prior
BiLo-NSGA,Bidirectional Local-search Non-dominated Sorting Genetic Algorithm,0.880000,proposed,1.000000
NSGA-II,Canonical non-dominated sorting evolutionary baseline.,0.780000,baseline,1.200000
NSGA-III,Many-objective non-dominated sorting baseline.,0.770000,baseline,1.300000
MOEA/D,Decomposition-based multi-objective evolutionary baseline.,0.750000,baseline,1.050000
Greedy BCR,Greedy benefit-cost ratio baseline.,0.600000,baseline,0.200000
AHP/TOPSIS,Static multi-criteria ranking baseline.,0.590000,baseline,0.180000
Random Feasible,Random feasible portfolio baseline.,0.420000,baseline,0.100000
no_forward_search,Ablation: no_forward_search.,0.845000,ablation,0.850000
no_backward_search,Ablation: no_backward_search.,0.827000,ablation,0.875000
random_mutation_only,Ablation: random_mutation_only.,0.809000,ablation,0.900000
no_dependency_moves,Ablation: no_dependency_moves.,0.791000,ablation,0.925000
no_feasibility_recovery,Ablation: no_feasibility_recovery.,0.773000,ablation,0.950000
weighted_ranking_only,Ablation: weighted_ranking_only.,0.755000,ablation,0.975000
shallow_local_search,Ablation: shallow_local_search.,0.737000,ablation,1.000000
low_dependency_density,Ablation: low_dependency_density.,0.719000,ablation,1.025000
loose_budget,Ablation: loose_budget.,0.701000,ablation,1.050000
