paper,section,subsection,paragraph,words,citations,crossrefs,numeric_tokens,role,mechanical_flag,opening
C2,Introduction,,1,73,0,0,0,exposition/transition,ok,"Power-grid reliability and maintenance review requires more than retrieving isolated high-frequency terms. Engineers may need the sequence linking a condition or root cause to an initiating event, propagation or response"
C2,Introduction,,2,98,0,0,0,method/protocol,ok,"The underlying documents are difficult for both readers and algorithms. Reliability assessments and event reports combine narrative findings, tabular evidence, quotations from standards, recommendations, appendices, and "
C2,Introduction,,3,97,0,0,0,exposition/transition,ok,"Maintenance-oriented review adds a second requirement: an extract should remain inspectable against its source. Abstractive generation can compress dispersed evidence, but it can also merge claims, suppress qualification"
C2,Introduction,,4,43,3,0,7,result/interpretation,ok,"Evidence selection, query-focused summarization, and graph ranking provide foundations for sentence-level selection . Dense sentence encoders offer strong semantic ranking comparators , whereas causal NLP emphasizes that"
C2,Introduction,,5,89,3,0,7,literature/context,ok,"Recent Applied Sciences studies illustrate three adjacent lines of work. Graph-based extractive summarizers use sentence graphs, hypergraphs, attention, or independent-set filtering to encode relations beyond isolated re"
C2,Introduction,,6,95,0,0,0,exposition/transition,ok,"This gap leads to three research questions. RQ1 asks whether a deterministic role-conditioned graph selector produces higher Executive-Summary lexical overlap than position, centroid, graph-ranking, semantic-diversity, a"
C2,Introduction,,7,80,1,0,1,result/interpretation,ok,"The exact title retains continuity with the original research objective, but ``for Power Grid Maintenance Reports'' denotes an aspirational intended downstream use rather than the population evaluated here. The empirical"
C2,Introduction,,8,83,0,0,0,boundary/limitation,ok,"The proxy is nevertheless informative for method development. It contains complete public technical reports with explicit summary sections, heterogeneous report lengths, causal and corrective vocabulary, and source pages"
C2,Introduction,,9,76,0,0,2,result/interpretation,ok,"An earlier implementation used fixed excerpts, allowed Executive Summary leakage, and defined a deletion quantity algebraically equivalent to weighted degree. Those v0.1/v0.2 results are withdrawn from the scientific cla"
C2,Introduction,,10,83,0,0,0,result/interpretation,support-check,"The corrective design also changes how success is interpreted. A method can execute exactly as specified while its novel channel contributes no measurable gain. Conversely, a higher mean against an external baseline can "
C2,Introduction,,11,50,0,0,0,claim/contribution,support-check,"The resulting evaluation is deliberately multi-criterion. Lexical overlap addresses correspondence with the official Executive Summary, redundancy addresses repetition, source locators address auditability, and component"
C2,Introduction,,12,89,0,0,0,boundary/limitation,ok,"The contributions are fourfold. First, we construct a full-PDF corrective benchmark with explicit inclusion, extraction, leakage, split, and rights ledgers. Second, we define an auditable typed-path structural diagnostic"
C2,Introduction,,13,76,0,0,0,claim/contribution,support-check,"The practical contribution is consequently narrower than an operational summarization system. The work supplies a source-linked experimental object, a deterministic mechanism that can be independently recomputed, and a s"
C2,Related Work,Extractive Technical-Document Summarization,1,78,2,0,4,literature/context,ok,"Extractive methods retain source text and are therefore naturally auditable. Lead, centroid, and graph-ranking methods remain useful comparators because they reveal whether complex selectors add value over position or ce"
C2,Related Work,Extractive Technical-Document Summarization,2,99,0,0,0,exposition/transition,ok,Extractive summarization methods can be organized by the evidence used to rank a sentence. Position-based methods assume that important content occurs in predictable locations. Centroid and topic methods reward similarit
C2,Related Work,Extractive Technical-Document Summarization,3,83,3,0,3,literature/context,ok,Applied Sciences summarization studies further show that ``graph based'' is not one design choice. Sentence Graph Attention learns content-aware relations between sentences ; MCHES represents higher-order contextual grou
C2,Related Work,Extractive Technical-Document Summarization,4,76,2,0,2,literature/context,ok,"Technical reports differ from short news articles in layout and discourse. Bug-report summarization, for example, must distinguish problem statements, observed behavior, diagnostic discussion, and resolution-oriented sen"
C2,Related Work,"Graphs, Semantic Ranking, and Causal Language",5,40,1,0,3,literature/context,ok,"Graph summarizers model relations among sentences, entities, topics, or discourse units . instead uses an interpretable typed sentence graph, trading learned capacity for deterministic construction and auditability. Sema"
C2,Related Work,"Graphs, Semantic Ranking, and Causal Language",6,76,0,0,0,result/interpretation,support-check,The typed graph should also be distinguished from a knowledge graph. A domain knowledge graph normally assigns entities and relations under an ontology and may support retrieval or reasoning over persistent triples. The 
C2,Related Work,"Graphs, Semantic Ranking, and Causal Language",7,85,0,0,0,exposition/transition,ok,"The structural perturbation is closest to a feature-sensitivity analysis. Removing node deletes every qualified path that contains , and the lost path utility becomes one ranking channel. The operation can identify a sen"
C2,Related Work,"Graphs, Semantic Ranking, and Causal Language",8,54,1,0,1,boundary/limitation,ok,"Causal language requires an explicit boundary. A text-derived directed edge can reflect rhetorical order, lexical overlap, or a heuristic role transition. It is not a validated structural equation or a physical power-sys"
C2,Related Work,"Graphs, Semantic Ranking, and Causal Language",9,74,1,0,2,result/interpretation,ok,"Causal NLP research distinguishes observational associations in language from assumptions that support intervention or counterfactual identification . The present study does not observe treatments, potential outcomes, ex"
C2,Related Work,Power-Grid Text Analytics,10,43,2,0,5,literature/context,ok,"Language technologies have been considered for grid models, operational records, and infrastructure analysis . Supervised entity--relation extraction from a grid-field corpus is related but does not solve report-level su"
C2,Related Work,Power-Grid Text Analytics,11,78,3,0,3,claim/contribution,ok,Power-domain knowledge-graph studies demonstrate why domain language and relation constraints matter. A power-fault knowledge graph can organize fault entities and relations extracted from specialised text ; line-loss ma
C2,Related Work,Power-Grid Text Analytics,12,71,2,0,2,literature/context,ok,"Maintenance-oriented studies provide a closer external-validity reference. Multi-source maintenance text has been used to ground large-language-model retrieval in coal-mine equipment records , and a recent bridge-mainten"
C2,Related Work,Power-Grid Text Analytics,13,61,2,0,2,literature/context,ok,"Relation extraction is another adjacent but distinct task. Mixture-of-experts and dependency features can improve entity--relation extraction , while cross-document attention can aggregate evidence across documents . The"
C2,Related Work,Power-Grid Text Analytics,14,67,0,0,0,exposition/transition,ok,"The comparison also exposes a validation asymmetry across research traditions. General summarization work can rely on large benchmark corpora and automatic metrics, while maintenance-oriented knowledge systems often add "
C2,Related Work,Power-Grid Text Analytics,15,55,0,1,0,exposition/transition,ok,"Table summarizes the closest methodological and domain comparisons. The principal gap is not the absence of graph or power-domain NLP methods. It is the absence, in this selected literature, of a deterministic long-repor"
C2,Materials and Methods,"Task, Scope, and Evidence Class",1,32,0,0,3,exposition/transition,short,"Let report contain non-summary candidate sentences. For budget , method returns , with . The selected sentences are restored to source order. The official Executive Summary is the reference only and is never candidate in"
C2,Materials and Methods,"Task, Scope, and Evidence Class",2,49,1,0,3,result/interpretation,ok,"ROUGE-1, ROUGE-2, and ROUGE-L F1 quantify lexical overlap between the extract and that Executive Summary . We use ROUGE-L as the registered primary endpoint. In this design, ``better ROUGE'' means greater Executive-Summa"
