paper,section,subsection,paragraph,words,citations,crossrefs,numeric_tokens,role,mechanical_flag,opening
C2GES_P60_WORK,Introduction,,1,73,0,0,0,exposition/transition,ok,"Power-grid reliability and maintenance review requires more than retrieving isolated high-frequency terms. Engineers may need the sequence linking a condition or root cause to an initiating event, propagation or response"
C2GES_P60_WORK,Introduction,,2,98,0,0,0,method/protocol,ok,"The underlying documents are difficult for both readers and algorithms. Reliability assessments and event reports combine narrative findings, tabular evidence, quotations from standards, recommendations, appendices, and "
C2GES_P60_WORK,Introduction,,3,97,0,0,0,exposition/transition,ok,"Maintenance-oriented review adds a second requirement: an extract should remain inspectable against its source. Abstractive generation can compress dispersed evidence, but it can also merge claims, suppress qualification"
C2GES_P60_WORK,Introduction,,4,43,3,0,7,result/interpretation,ok,"Evidence selection, query-focused summarization, and graph ranking provide foundations for sentence-level selection . Dense sentence encoders offer strong semantic ranking comparators , whereas causal NLP emphasizes that"
C2GES_P60_WORK,Introduction,,5,89,3,0,7,literature/context,ok,"Recent Applied Sciences studies illustrate three adjacent lines of work. Graph-based extractive summarizers use sentence graphs, hypergraphs, attention, or independent-set filtering to encode relations beyond isolated re"
C2GES_P60_WORK,Introduction,,6,95,0,0,0,exposition/transition,ok,"This gap leads to three research questions. RQ1 asks whether a deterministic role-conditioned graph selector produces higher Executive-Summary lexical overlap than position, centroid, graph-ranking, semantic-diversity, a"
C2GES_P60_WORK,Introduction,,7,80,1,0,1,result/interpretation,ok,"The exact title retains continuity with the original research objective, but ``for Power Grid Maintenance Reports'' denotes an aspirational intended downstream use rather than the population evaluated here. The empirical"
C2GES_P60_WORK,Introduction,,8,83,0,0,0,boundary/limitation,ok,"The proxy is nevertheless informative for method development. It contains complete public technical reports with explicit summary sections, heterogeneous report lengths, causal and corrective vocabulary, and source pages"
C2GES_P60_WORK,Introduction,,9,76,0,0,2,result/interpretation,ok,"An earlier implementation used fixed excerpts, allowed Executive Summary leakage, and defined a deletion quantity algebraically equivalent to weighted degree. Those v0.1/v0.2 results are withdrawn from the scientific cla"
C2GES_P60_WORK,Introduction,,10,83,0,0,0,result/interpretation,support-check,"The corrective design also changes how success is interpreted. A method can execute exactly as specified while its novel channel contributes no measurable gain. Conversely, a higher mean against an external baseline can "
C2GES_P60_WORK,Introduction,,11,89,0,0,0,boundary/limitation,ok,"The contributions are fourfold. First, we construct a full-PDF corrective benchmark with explicit inclusion, extraction, leakage, split, and rights ledgers. Second, we define an auditable typed-path structural diagnostic"
C2GES_P60_WORK,Introduction,,12,76,0,0,0,claim/contribution,support-check,"The practical contribution is consequently narrower than an operational summarization system. The work supplies a source-linked experimental object, a deterministic mechanism that can be independently recomputed, and a s"
C2GES_P60_WORK,Related Work,Extractive Technical-Document Summarization,1,78,2,0,4,literature/context,ok,"Extractive methods retain source text and are therefore naturally auditable. Lead, centroid, and graph-ranking methods remain useful comparators because they reveal whether complex selectors add value over position or ce"
C2GES_P60_WORK,Related Work,Extractive Technical-Document Summarization,2,99,0,0,0,exposition/transition,ok,Extractive summarization methods can be organized by the evidence used to rank a sentence. Position-based methods assume that important content occurs in predictable locations. Centroid and topic methods reward similarit
C2GES_P60_WORK,Related Work,Extractive Technical-Document Summarization,3,83,3,0,3,literature/context,ok,Applied Sciences summarization studies further show that ``graph based'' is not one design choice. Sentence Graph Attention learns content-aware relations between sentences ; MCHES represents higher-order contextual grou
C2GES_P60_WORK,Related Work,Extractive Technical-Document Summarization,4,76,2,0,2,literature/context,ok,"Technical reports differ from short news articles in layout and discourse. Bug-report summarization, for example, must distinguish problem statements, observed behavior, diagnostic discussion, and resolution-oriented sen"
C2GES_P60_WORK,Related Work,"Graphs, Semantic Ranking, and Causal Language",5,40,1,0,3,literature/context,ok,"Graph summarizers model relations among sentences, entities, topics, or discourse units . instead uses an interpretable typed sentence graph, trading learned capacity for deterministic construction and auditability. Sema"
C2GES_P60_WORK,Related Work,"Graphs, Semantic Ranking, and Causal Language",6,76,0,0,0,result/interpretation,support-check,The typed graph should also be distinguished from a knowledge graph. A domain knowledge graph normally assigns entities and relations under an ontology and may support retrieval or reasoning over persistent triples. The 
C2GES_P60_WORK,Related Work,"Graphs, Semantic Ranking, and Causal Language",7,85,0,0,0,exposition/transition,ok,"The structural perturbation is closest to a feature-sensitivity analysis. Removing node deletes every qualified path that contains , and the lost path utility becomes one ranking channel. The operation can identify a sen"
C2GES_P60_WORK,Related Work,"Graphs, Semantic Ranking, and Causal Language",8,54,1,0,1,boundary/limitation,ok,"Causal language requires an explicit boundary. A text-derived directed edge can reflect rhetorical order, lexical overlap, or a heuristic role transition. It is not a validated structural equation or a physical power-sys"
C2GES_P60_WORK,Related Work,"Graphs, Semantic Ranking, and Causal Language",9,74,1,0,2,result/interpretation,ok,"Causal NLP research distinguishes observational associations in language from assumptions that support intervention or counterfactual identification . The present study does not observe treatments, potential outcomes, ex"
C2GES_P60_WORK,Related Work,Power-Grid Text Analytics,10,43,2,0,5,literature/context,ok,"Language technologies have been considered for grid models, operational records, and infrastructure analysis . Supervised entity--relation extraction from a grid-field corpus is related but does not solve report-level su"
C2GES_P60_WORK,Related Work,Power-Grid Text Analytics,11,78,3,0,3,claim/contribution,ok,Power-domain knowledge-graph studies demonstrate why domain language and relation constraints matter. A power-fault knowledge graph can organize fault entities and relations extracted from specialised text ; line-loss ma
C2GES_P60_WORK,Related Work,Power-Grid Text Analytics,12,71,2,0,2,literature/context,ok,"Maintenance-oriented studies provide a closer external-validity reference. Multi-source maintenance text has been used to ground large-language-model retrieval in coal-mine equipment records , and a recent bridge-mainten"
C2GES_P60_WORK,Related Work,Power-Grid Text Analytics,13,61,2,0,2,literature/context,ok,"Relation extraction is another adjacent but distinct task. Mixture-of-experts and dependency features can improve entity--relation extraction , while cross-document attention can aggregate evidence across documents . The"
C2GES_P60_WORK,Related Work,Power-Grid Text Analytics,14,55,0,1,0,exposition/transition,ok,"Table summarizes the closest methodological and domain comparisons. The principal gap is not the absence of graph or power-domain NLP methods. It is the absence, in this selected literature, of a deterministic long-repor"
C2GES_P60_WORK,Materials and Methods,"Task, Scope, and Evidence Class",1,32,0,0,3,exposition/transition,short,"Let report contain non-summary candidate sentences. For budget , method returns , with . The selected sentences are restored to source order. The official Executive Summary is the reference only and is never candidate in"
C2GES_P60_WORK,Materials and Methods,"Task, Scope, and Evidence Class",2,49,1,0,3,result/interpretation,ok,"ROUGE-1, ROUGE-2, and ROUGE-L F1 quantify lexical overlap between the extract and that Executive Summary . We use ROUGE-L as the registered primary endpoint. In this design, ``better ROUGE'' means greater Executive-Summa"
C2GES_P60_WORK,Materials and Methods,"Task, Scope, and Evidence Class",3,49,0,0,1,boundary/limitation,ok,"This is a post-audit corrective evaluation. Earlier versions of the test population were inspected while diagnosing R1, so the v0.3.1 freeze cannot recover outcome-unseen confirmatory status. The formal output is therefo"
C2GES_P60_WORK,Materials and Methods,"Task, Scope, and Evidence Class",4,82,0,1,0,boundary/limitation,ok,"The three research questions map to different evidence and must not be collapsed. RQ1 is addressed by the seven-condition comparison on the frozen test split, but its interpretation is qualified by unequal output lengths"
C2GES_P60_WORK,Materials and Methods,"Task, Scope, and Evidence Class",5,63,0,0,3,exposition/transition,ok,"The unit of analysis is the report, not the sentence. Sentences within a report share topic, vocabulary, layout, and reference-summary content and are therefore not treated as independent observations. Candidate-level qu"
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",6,57,0,1,17,exposition/transition,ok,The manifest binds 40 complete local PDFs with distinct SHA-256 values and 3200 declared pages. A deterministic full-PDF builder retained 27 reports and excluded 13 before outcome computation. The retained data comprise 
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",7,94,0,0,4,exposition/transition,ok,"Supplementary Table S1 is the rights-safe sampling frame for all 40 reports. For every source it records a non-verbatim report identifier, genre, declared pages, reference word count where a valid reference was detected,"
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",8,83,0,0,0,result/interpretation,support-check,"Inclusion required a complete readable PDF, a detectable summary reference, a non-empty post-summary candidate region, and passage of the registered extraction-quality gates. Exclusion was decided before outcome computat"
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",9,82,0,0,2,exposition/transition,ok,Development and test assignment was performed at report level so that sentences from one source could not cross partitions. The 12 development reports supported configuration selection; the 15 test reports were used once
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",10,82,0,0,7,boundary/limitation,ok,"Candidates begin after a conservatively detected Executive Summary boundary, and no fixed sentence cap is applied. The builder emits 12,924 candidates, with 51--1898 per report; 25 reports have more than 80. An independe"
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",11,83,0,0,0,boundary/limitation,ok,The four leakage checks cover complementary failure paths. Page-interval separation detects gross boundary failure. Normalized exact matching detects a reference sentence copied into the candidate region despite page sep
C2GES_P60_WORK,Materials and Methods,"Source PDFs, Inclusion, and Leakage Gates",12,66,0,0,0,exposition/transition,ok,"Rights handling is orthogonal to leakage. A document can be scientifically eligible but unsuitable for redistribution. The local restricted compartment therefore holds the source-derived candidate and prediction text, wh"
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,13,50,0,0,2,exposition/transition,ok,"Each candidate receives lexical evidence for root cause, trigger event, propagation or response, impact, and mitigation. Positive top-score ties abstain rather than using fixed role order; 111 development ties all receiv"
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,14,90,0,0,0,method/protocol,ok,"For each role, the implementation counts registered cue classes in the candidate and then normalizes evidence within the report. Report-level normalization prevents a cue-rich long report from mechanically assigning larg"
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,15,44,0,1,0,exposition/transition,ok,"Table gives the executable taxonomy. The cues are substring-based lexical indicators, normalized within a report. A unique positive maximum assigns a dominant role; an all-zero vector or equal positive maximum yields abs"
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,16,41,0,1,1,boundary/limitation,ok,"A directed edge is allowed only for registered stage-monotone role transitions within 12 sentence positions. Its weight combines positional distance, token-set Jaccard overlap, and role confidence. Normalized weighted de"
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,17,88,0,1,1,exposition/transition,ok,"The edge gate has three parts. First, the source order must move forward, because the proxy represents a narrative progression rather than an arbitrary similarity network. Second, the source and target roles must appear "
C2GES_P60_WORK,Materials and Methods,Sentence Roles and Typed Textual Proxy Graph,18,89,0,0,1,boundary/limitation,ok,"These choices make the graph sparse and document specific. Sparse construction limits path enumeration and improves inspectability, while document-specific normalization avoids comparing raw node degrees across reports o"
C2GES_P60_WORK,Materials and Methods,Typed Path-Deletion Structural Perturbation,19,30,0,0,0,exposition/transition,short,"Let be the set of simple, stage-monotone paths with two to four edges beginning at a root-cause or trigger node and ending at an impact or mitigation node. For path ,"
C2GES_P60_WORK,Materials and Methods,Typed Path-Deletion Structural Perturbation,20,8,0,0,0,exposition/transition,short,The graph utility and raw deletion score are
C2GES_P60_WORK,Materials and Methods,Typed Path-Deletion Structural Perturbation,21,56,0,0,0,result/interpretation,support-check,"Unlike weighted degree, depends on qualified multi-edge path membership, role order, and the geometric mean of edge weights. A registered counterexample gives two nodes equal weighted degree but unequal qualified-path me"
C2GES_P60_WORK,Materials and Methods,Typed Path-Deletion Structural Perturbation,22,99,0,1,8,exposition/transition,ok,"Table provides a synthetic walk-through that is independent of the experimental corpus. Consider five source-ordered nodes with roles root cause, trigger, propagation, impact, and mitigation and four compatible edge weig"
C2GES_P60_WORK,Materials and Methods,Typed Path-Deletion Structural Perturbation,23,60,0,0,0,method/protocol,ok,The equality follows because node deletion removes exactly the qualified paths containing and leaves the remaining path strengths unchanged. The implementation nevertheless recomputes or cache-checks the deleted graph ra
C2GES_P60_WORK,Materials and Methods,Scoring and Selection,24,46,0,0,6,exposition/transition,ok,"where is lexical centroid relevance, role evidence, weighted-degree salience, normalized path-deletion loss, and a positional prior. Greedy selection subtracts times the maximum token-set Jaccard overlap with an already "
C2GES_P60_WORK,Materials and Methods,Scoring and Selection,25,40,0,0,1,exposition/transition,ok,"The strict no-CF ablation changes only the coefficient of from 0.15 to zero. It does not renormalize any remaining coefficient or alter candidates, graph construction, redundancy penalty, tie rules, or budgets. This sing"
C2GES_P60_WORK,Materials and Methods,Scoring and Selection,26,87,0,0,5,exposition/transition,ok,Selection proceeds deterministically in five steps: (1) construct report-level candidates and normalized feature channels; (2) build the typed graph and enumerate qualified paths within the registered caps; (3) compute t
C2GES_P60_WORK,Materials and Methods,Scoring and Selection,27,83,0,0,8,boundary/limitation,ok,"The dominant computational cost arises from candidate-pair edge checks and bounded path enumeration. With candidates and a fixed 12-position horizon, at most forward neighborhoods require transition and similarity checks"
