claim_id,source_id,evidence_locator,support_relation,verification_status,exact_claim,scope_or_limitation
LIT-C01,ref1,Primary article title abstract and method,EXAMPLE_SUPPORT,VERIFIED,GCN-BiLSTM-Adaboost is one recent hybrid power-load forecasting design,No claim about prevalence or superiority transfers across datasets
LIT-C01,ref2,Primary article Sections 2 and 5,EXAMPLE_SUPPORT,VERIFIED,The cited TSTG combines Transformer attention with a dynamically updated graph for multi-energy loads,Its graph fuses topology and feature similarity and is not CSA-LoadNet
LIT-C01,ref3,Primary article Introduction and dataset table,EXAMPLE_SUPPORT,VERIFIED,The cited model integrates multi-scale GCN and Transformer and uses 7:1:2 splits on three datasets,Not a matched graph-versus-equal-weight test
LIT-C01,ref4,Primary DOI record and article abstract,EXAMPLE_SUPPORT,VERIFIED,LoadSeer is a tensor graph-convolutional power-load model,Full experimental-detail comparison remains outside this map
LIT-C02,ref15,Primary article method,EXAMPLE_SUPPORT,VERIFIED,A three-channel LSTM-CNN is a recent applied-load hybrid,One member of a four-paper sample
LIT-C02,ref16,Primary article citation record and method,EXAMPLE_SUPPORT,VERIFIED,A BiLSTM-Transformer with dynamic adaptive fusion is a recent applied-load hybrid,One member of a four-paper sample
LIT-C02,ref17,Primary article title method and experiments,EXAMPLE_SUPPORT,VERIFIED,SBOA-SVMD-TCN-BiLSTM is a decomposition and hybrid forecasting pipeline,One member of a four-paper sample
LIT-C02,ref18,Primary article title and method,EXAMPLE_SUPPORT,VERIFIED,LSTM-XGBoost is a reported smart-grid load hybrid,One member of a four-paper sample
LIT-C03,ref9,Original paper abstract and architecture,FOUNDATIONAL_SUPPORT,VERIFIED,LSTM introduces gated recurrent units for long-lag sequence learning,Not a load-forecasting result
LIT-C03,ref10,Original article abstract,APPLICATION_SUPPORT,VERIFIED,LSTM is applied to short-term residential load forecasting,No general displacement claim
LIT-C03,ref11,Original article abstract and Introduction,APPLICATION_SUPPORT,VERIFIED,DeepAR trains a global autoregressive recurrent model over related series,Probabilistic forecasting scope retained
LIT-C03,ref12,Original article comparison design,APPLICATION_SUPPORT,VERIFIED,Temporal convolutional networks are evaluated against recurrent alternatives on energy-related series,No universal cost claim
LIT-C03,ref13,Original article abstract and method,ARCHITECTURE_SUPPORT,VERIFIED,TFT combines recurrent local processing and interpretable attention for multi-horizon forecasting,Not load-specific
LIT-C03,ref14,Original AAAI paper abstract,ARCHITECTURE_SUPPORT,VERIFIED,Informer uses sparse attention for long-sequence forecasting,Not load-specific
LIT-C04,ref19,Original ACM paper abstract and method,ARCHITECTURE_SUPPORT,VERIFIED,LSTNet jointly models multivariate series with convolution recurrent and autoregressive components,Not graph convolution
LIT-C04,ref20,Original IJCAI paper abstract and graph definition,FOUNDATIONAL_SUPPORT,VERIFIED,STGCN forecasts traffic on a predefined sensor graph,Traffic evidence cannot prove load performance
LIT-C04,ref21,Original ACM paper abstract and method,FOUNDATIONAL_SUPPORT,VERIFIED,MTGNN learns graph structure jointly with graph and temporal convolutions,General multivariate benchmarks not load-specific
LIT-C05,ref22,Original article abstract,FOUNDATIONAL_SUPPORT,VERIFIED,Regression-based reconciliation makes forecasts coherent across a hierarchy,Minimum-variance statement is conditional on assumptions
LIT-C05,ref23,Original article abstract and estimator,FOUNDATIONAL_SUPPORT,VERIFIED,MinT uses forecast-error covariance information to obtain coherent forecasts,Does not guarantee lower error in every application
LIT-C05,ref24,Dataset paper title abstract and data description,DATA_SUPPORT,VERIFIED,Ausgrid provides residential customer load and rooftop-PV data,The project's evaluation hierarchy is constructed downstream
