paper_id,experiment_id,method,method_role,repeat,budget_feasibility_rate,hypervolume,quality_index,ranking_stability,runtime_s,scenario_status,trace_completeness
mintou_p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,1,0.866281,0.672464,0.866572,0.832878,1.371151,synthetic_smoke_v0,0.912223
mintou_p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,2,0.867192,0.698295,0.886542,0.838979,1.299320,synthetic_smoke_v0,0.912733
mintou_p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,3,0.872260,0.686546,0.871126,0.832785,1.350887,synthetic_smoke_v0,0.909419
mintou_p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,4,0.858193,0.676525,0.869193,0.837379,1.053762,synthetic_smoke_v0,0.924493
mintou_p5,benchmark_portfolio_optimization,TRACE-MOEA,proposed,5,0.858273,0.688168,0.878957,0.849524,1.343045,synthetic_smoke_v0,0.924315
mintou_p5,benchmark_portfolio_optimization,NSGA-II,baseline,1,0.833911,0.613167,0.777822,0.806822,1.239258,synthetic_smoke_v0,0.867768
mintou_p5,benchmark_portfolio_optimization,NSGA-II,baseline,2,0.832057,0.619994,0.791250,0.803319,1.347815,synthetic_smoke_v0,0.875742
mintou_p5,benchmark_portfolio_optimization,NSGA-II,baseline,3,0.827416,0.600849,0.783087,0.789247,1.350368,synthetic_smoke_v0,0.876542
mintou_p5,benchmark_portfolio_optimization,NSGA-II,baseline,4,0.833738,0.619767,0.786168,0.804094,1.683262,synthetic_smoke_v0,0.874555
mintou_p5,benchmark_portfolio_optimization,NSGA-II,baseline,5,0.822370,0.603336,0.776285,0.806639,1.415414,synthetic_smoke_v0,0.879312
mintou_p5,benchmark_portfolio_optimization,MOEA/D,baseline,1,0.815296,0.582094,0.752360,0.797280,1.153984,synthetic_smoke_v0,0.867792
mintou_p5,benchmark_portfolio_optimization,MOEA/D,baseline,2,0.814266,0.580347,0.743160,0.786533,1.231651,synthetic_smoke_v0,0.871723
mintou_p5,benchmark_portfolio_optimization,MOEA/D,baseline,3,0.815803,0.575915,0.744272,0.792706,1.282114,synthetic_smoke_v0,0.869814
mintou_p5,benchmark_portfolio_optimization,MOEA/D,baseline,4,0.813165,0.576547,0.749899,0.792559,1.521537,synthetic_smoke_v0,0.855929
mintou_p5,benchmark_portfolio_optimization,MOEA/D,baseline,5,0.809681,0.589513,0.764564,0.791994,1.504302,synthetic_smoke_v0,0.862672
mintou_p5,benchmark_portfolio_optimization,Greedy BCR,baseline,1,0.756530,0.459829,0.601505,0.714994,0.396462,synthetic_smoke_v0,0.799557
mintou_p5,benchmark_portfolio_optimization,Greedy BCR,baseline,2,0.740159,0.466548,0.603637,0.726522,0.384949,synthetic_smoke_v0,0.800353
mintou_p5,benchmark_portfolio_optimization,Greedy BCR,baseline,3,0.738950,0.458029,0.591455,0.714531,0.398899,synthetic_smoke_v0,0.797641
mintou_p5,benchmark_portfolio_optimization,Greedy BCR,baseline,4,0.752762,0.470383,0.596341,0.715746,0.413793,synthetic_smoke_v0,0.795316
mintou_p5,benchmark_portfolio_optimization,Greedy BCR,baseline,5,0.741115,0.475908,0.609739,0.727812,0.393887,synthetic_smoke_v0,0.800251
mintou_p5,benchmark_portfolio_optimization,AHP,baseline,1,0.735524,0.465650,0.586710,0.702337,0.296362,synthetic_smoke_v0,0.794035
mintou_p5,benchmark_portfolio_optimization,AHP,baseline,2,0.728620,0.448419,0.572847,0.711202,0.321732,synthetic_smoke_v0,0.785399
mintou_p5,benchmark_portfolio_optimization,AHP,baseline,3,0.733895,0.457910,0.579200,0.694501,0.303120,synthetic_smoke_v0,0.792822
mintou_p5,benchmark_portfolio_optimization,AHP,baseline,4,0.741781,0.444274,0.575931,0.711427,0.333842,synthetic_smoke_v0,0.784482
mintou_p5,benchmark_portfolio_optimization,AHP,baseline,5,0.727436,0.435524,0.571088,0.710013,0.305159,synthetic_smoke_v0,0.785944
mintou_p5,benchmark_portfolio_optimization,TOPSIS,baseline,1,0.750586,0.478818,0.605202,0.723941,0.296563,synthetic_smoke_v0,0.797007
mintou_p5,benchmark_portfolio_optimization,TOPSIS,baseline,2,0.763750,0.490702,0.616370,0.731054,0.313136,synthetic_smoke_v0,0.803399
mintou_p5,benchmark_portfolio_optimization,TOPSIS,baseline,3,0.755833,0.478816,0.605407,0.713646,0.305205,synthetic_smoke_v0,0.802034
mintou_p5,benchmark_portfolio_optimization,TOPSIS,baseline,4,0.743096,0.473167,0.610968,0.725055,0.313355,synthetic_smoke_v0,0.804612
mintou_p5,benchmark_portfolio_optimization,TOPSIS,baseline,5,0.771373,0.468012,0.612034,0.717871,0.334822,synthetic_smoke_v0,0.809194
mintou_p5,benchmark_portfolio_optimization,Weighted Sum,baseline,1,0.774672,0.512871,0.651442,0.731080,0.525355,synthetic_smoke_v0,0.827974
mintou_p5,benchmark_portfolio_optimization,Weighted Sum,baseline,2,0.758595,0.495939,0.627949,0.726869,0.543716,synthetic_smoke_v0,0.806558
mintou_p5,benchmark_portfolio_optimization,Weighted Sum,baseline,3,0.757589,0.497310,0.633028,0.737445,0.602273,synthetic_smoke_v0,0.810334
mintou_p5,benchmark_portfolio_optimization,Weighted Sum,baseline,4,0.761391,0.496472,0.624494,0.736058,0.524702,synthetic_smoke_v0,0.821781
mintou_p5,benchmark_portfolio_optimization,Weighted Sum,baseline,5,0.783473,0.518943,0.654381,0.730437,0.588207,synthetic_smoke_v0,0.830718
mintou_p5,benchmark_portfolio_optimization,no_feasibility_repair,ablation,1,0.848036,0.664035,0.839131,0.823239,0.930450,synthetic_smoke_v0,0.906736
mintou_p5,benchmark_portfolio_optimization,no_feasibility_repair,ablation,2,0.851195,0.642877,0.833473,0.821049,0.914850,synthetic_smoke_v0,0.908490
mintou_p5,benchmark_portfolio_optimization,no_feasibility_repair,ablation,3,0.834670,0.642970,0.831971,0.833668,1.026877,synthetic_smoke_v0,0.901300
