question_id,order_sensitive,top_k,limit,order_by_clause,projection_count,order_term_count,machine_class,automatic_primary_eligible,rationale
Q021,True,False,,asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q023,True,False,,"scheduled_date, work_order_id",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q024,True,False,,technician_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q025,True,False,,status,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q026,True,False,,"expected_lifetime_years DESC, type_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q027,True,False,,w.work_order_id,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q029,True,False,,"l.region, a.asset_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q030,True,False,,work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q031,True,False,,reading_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q032,True,False,,"asset_count DESC, l.region",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q033,True,False,,completed_date,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q034,True,False,,"capacity_mw DESC, asset_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q035,True,False,,w.priority,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q036,True,False,,w.work_order_id,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q037,True,False,,d.asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q038,True,False,,a.asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q039,True,True,1,scheduled_date ASC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q040,True,False,,asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q041,True,False,,"alarm_count DESC, a.asset_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q042,True,False,,manufacturer,1,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q043,True,False,,a.asset_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q045,True,False,,w.work_order_id,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q046,True,False,,s.reading_value DESC,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q047,True,False,,t.voltage_class,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q048,True,False,,"install_date, asset_name",2,2,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q050,True,False,,"upstream_asset, downstream_asset",3,2,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q051,True,True,1,m.parts_cost DESC,2,1,TOPK_TIE_POLICY_HOLD,False,LIMIT cutoff can select among non-output-identical ties; independent adjudication required
Q052,True,False,,a.asset_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q053,True,False,,work_order_id,3,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q054,True,False,,unit,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q055,True,False,,a.asset_name,1,1,TIE_OUTPUT_EQUIVALENT_MACHINE,True,ORDER BY covers every projected expression; tied rows are output-identical
Q056,True,False,,w.work_order_id,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q058,True,False,,region,1,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
Q059,True,False,,a.asset_name,2,1,AMBIGUOUS_ORDER_HOLD,False,schema does not prove total order and ORDER BY does not cover every projected expression
